time,gFx,gFy,gFz,TgF
5.012806,0.796,0.2282,0.391,0.92
5.023392,0.7648,0.2224,0.4223,0.9
5.040342,0.798,0.2321,0.4184,0.93
5.057402,0.9348,0.2672,0.4242,1.06
5.092291,1.0226,0.2595,0.516,1.17
5.109567,1.095,0.2106,0.4906,1.22
5.122854,1.0324,0.2478,0.2933,1.1
5.139536,0.9504,0.2595,0.1624,1.0
5.15638,0.9367,0.2555,0.0451,0.97
5.191963,1.0168,0.2555,0.2679,1.08
5.212169,0.9465,0.2672,0.2855,1.02
5.222237,0.9211,0.2614,0.2777,1.0
5.240252,0.8664,0.2732,0.3148,0.96
5.257191,1.0344,0.2282,0.3421,1.11
5.291131,1.0813,0.3494,0.3265,1.18
5.311166,0.9993,0.4021,0.3167,1.12
5.322075,0.9699,0.406,0.35,1.11
5.338947,0.9485,0.3708,0.3832,1.09
5.37283,1.0501,0.3298,0.4515,1.19
5.387943,0.8195,0.3494,0.4203,0.99
5.409463,0.7413,0.3357,0.3637,0.89
5.441447,0.8664,0.2536,0.3206,0.96
5.441933,0.9094,0.2516,0.3129,0.99
5.470949,0.8312,0.3122,0.2971,0.94
5.487352,0.667,0.3005,0.3011,0.79
5.509711,0.7198,0.2439,0.3773,0.85
5.540023,1.0344,0.3317,0.2971,1.13
5.551824,1.0286,0.3825,0.3089,1.14
5.569997,1.0422,0.3787,0.3597,1.17
5.591559,1.2298,0.408,0.518,1.4
5.624059,1.0481,0.365,0.6821,1.3
5.624288,1.0481,0.365,0.6821,1.3
5.652532,1.0461,0.3357,0.5728,1.24
5.668415,1.0032,0.2927,0.4086,1.12
5.686323,0.966,0.2262,0.2894,1.03
5.717608,0.884,0.1481,0.1409,0.91
5.734748,1.0012,0.1481,0.0822,1.02
5.751152,1.0305,0.1931,0.1331,1.06
5.768513,1.009,0.2204,0.2366,1.06
5.791459,1.007,0.2224,0.0568,1.03
5.827621,1.013,0.1715,0.0256,1.03
5.827843,1.013,0.1715,0.0256,1.03
5.851185,0.8996,0.2849,0.0882,0.95
5.86857,0.9152,0.2536,0.2659,0.99
5.890148,0.9972,0.1891,0.2112,1.04
5.928379,1.0481,0.1344,-0.0368,1.06
5.928625,1.0481,0.1344,-0.0368,1.06
5.95074,0.9953,0.1324,-0.072,1.01
5.988377,0.8761,0.1813,-0.1443,0.91
6.023262,1.0579,0.1754,-0.0857,1.08
6.023486,1.0579,0.1754,-0.0857,1.08
6.033027,1.0324,0.1833,-0.0544,1.05
6.048974,0.9895,0.1696,-0.0447,1.0
6.085372,0.9192,0.1833,-0.1736,0.95
6.115402,0.9504,0.154,-0.2068,0.98
6.115648,0.9504,0.154,-0.2068,0.98
6.132211,0.8879,0.1891,-0.1502,0.92
6.166675,1.0422,0.113,-0.1443,1.06
6.182795,0.9836,0.1266,-0.1834,1.01
6.205211,0.9269,0.1696,-0.371,1.01
6.239032,0.9329,0.0876,-0.371,1.01
6.23932,0.9329,0.0876,-0.371,1.01
6.265819,0.966,0.0816,-0.2771,1.01
6.282867,0.9934,0.0876,-0.156,1.01
6.303994,1.0266,0.0934,-0.1208,1.04
6.338272,1.0617,0.113,-0.2224,1.09
6.33849,1.0617,0.113,-0.2224,1.09
6.3649,0.8742,0.1266,-0.1502,0.9
6.3827,0.8116,0.0836,-0.1462,0.83
6.402939,0.8879,0.109,-0.199,0.92
6.440339,1.0617,0.1266,-0.2381,1.1
6.44056,1.0617,0.1266,-0.2381,1.1
6.463706,1.0032,0.0426,-0.3847,1.08
6.482098,0.9211,0.0582,-0.2967,0.97
6.503756,0.9348,0.1676,-0.1795,0.97
6.545317,0.8761,0.0895,-0.3944,0.96
6.545546,0.8761,0.0895,-0.3944,0.96
6.563321,0.8664,0.0406,-0.373,0.94
6.580567,0.8781,0.0289,-0.3065,0.93
6.602869,0.9348,0.0641,-0.2889,0.98
6.639333,1.009,0.0758,-0.5566,1.15
6.6396,1.009,0.0758,-0.5566,1.15
6.663666,0.9523,0.0778,-0.4491,1.06
6.681266,0.8898,0.0718,-0.3456,0.96
6.700291,0.9758,0.0387,-0.3162,1.03
6.736179,0.9699,0.0054,-0.3319,1.03
6.745087,0.9133,0.0269,-0.3378,0.97
6.762793,0.9113,0.0543,-0.3514,0.98
6.779855,0.9543,0.0758,-0.3358,1.01
