time,gFx,gFy,gFz,TgF
5.011527,0.9523,-0.1,-0.4374,1.05
5.028601,1.0794,-0.1,-0.4667,1.18
5.049316,1.013,-0.0394,-0.543,1.15
5.08292,0.8332,0.1403,-0.7461,1.13
5.094554,0.8917,0.1109,-0.5625,1.06
5.111402,0.837,0.1188,-0.5684,1.02
5.127271,0.6574,0.15,-0.7012,0.97
5.150334,0.5576,0.1149,-0.543,0.79
5.178405,0.6397,0.068,-0.6699,0.93
5.194101,0.7531,0.1051,-0.8106,1.11
5.210385,0.8019,0.1598,-0.8185,1.16
5.227065,0.7745,0.1363,-0.8067,1.13
5.246072,0.6437,0.0191,-0.6972,0.95
5.280818,0.585,0.0718,-0.9084,1.08
5.292018,0.5948,0.0797,-0.9024,1.08
5.310567,0.6612,0.0876,-0.7696,1.02
5.326937,0.6944,0.1109,-0.8262,1.08
5.347646,0.4423,0.0972,-0.713,0.84
5.376609,0.4697,0.0504,-0.6171,0.78
5.39518,0.5361,0.0211,-0.8497,1.0
5.409985,0.4346,0.0113,-0.8008,0.91
5.443685,0.5752,-0.0511,-0.8282,1.01
5.464043,0.5068,-0.1351,-1.1506,1.26
5.497969,0.6358,-0.2465,-1.5297,1.67
5.498203,0.6358,-0.2465,-1.5297,1.67
5.50877,0.7569,-0.3969,-1.2952,1.55
5.543102,0.4951,-0.7018,-0.7696,1.15
5.563807,0.4189,-0.606,-0.8321,1.11
5.580982,0.5088,-0.5436,-0.7891,1.08
5.590561,0.628,-0.7741,-0.8028,1.28
5.609642,0.3975,-0.6393,-0.6993,1.03
5.641789,0.3114,-0.5709,-0.7754,1.01
5.662889,0.3623,-0.4087,-0.7286,0.91
5.680907,0.6104,-0.3677,-0.836,1.1
5.690025,0.5713,-0.4009,-0.8672,1.11
5.72421,0.4502,-0.5983,-0.7774,1.08
5.741788,0.2783,-0.647,-0.8341,1.09
5.762633,0.4912,-0.5611,-0.8946,1.16
5.795443,0.544,-0.4966,-0.9885,1.23
5.795649,0.544,-0.4966,-0.9885,1.23
5.824202,0.5557,-0.4634,-0.8927,1.15
5.841425,0.4951,-0.4497,-0.8439,1.08
5.86129,0.5068,-0.3482,-0.8868,1.08
5.896591,0.503,-0.3911,-0.9845,1.17
5.896801,0.503,-0.3911,-0.9845,1.17
5.923721,0.1961,-0.7018,-1.1799,1.39
5.940606,0.0418,-0.9754,-1.3069,1.63
5.957166,-0.1379,-1.1063,-1.0822,1.55
5.977013,0.034,-0.6197,-0.8732,1.07
6.018207,-0.0519,-0.4595,-0.838,0.96
6.018615,-0.1144,-0.4888,-0.8399,0.98
6.039607,-0.2824,-0.6412,-0.7794,1.05
6.060031,-0.3313,-0.5396,-0.8516,1.06
6.094655,-0.261,-0.2504,-0.8185,0.89
6.105052,-0.2551,-0.2602,-0.6816,0.77
6.121775,-0.388,-0.2329,-0.6113,0.76
6.138589,-0.5013,-0.2015,-0.6641,0.86
6.159331,-0.3606,-0.2015,-0.8907,0.98
6.203125,-0.2805,-0.1879,-0.9748,1.03
6.203454,-0.2805,-0.1879,-0.9748,1.03
6.220929,-0.3508,-0.266,-1.0002,1.09
6.238811,-0.3098,-0.1938,-0.924,0.99
6.294568,-0.3899,-0.3813,-0.7403,0.92
6.294766,-0.3899,-0.3813,-0.7403,0.92
6.304216,-0.3978,-0.3794,-0.9063,1.06
6.321728,-0.3645,-0.3482,-0.7891,0.94
6.358555,-0.4896,-0.2895,-0.6602,0.87
6.391503,-0.304,-0.3228,-0.7617,0.88
6.391698,-0.304,-0.3228,-0.7617,0.88
6.402997,-0.3117,-0.3559,-0.7794,0.91
6.420269,-0.3587,-0.4283,-0.7442,0.93
6.456303,-0.3958,-0.4966,-0.7481,0.98
6.49331,-0.4368,-0.4947,-0.6972,0.96
6.493517,-0.4368,-0.4947,-0.6972,0.96
6.502146,-0.4817,-0.4673,-0.6934,0.97
6.521405,-0.5756,-0.4302,-0.5644,0.91
6.558832,-0.3254,-0.3872,-0.754,0.91
6.581932,-0.4368,-0.4595,-0.7891,1.01
6.585484,-0.5033,-0.4771,-0.752,1.02
6.603634,-0.5756,-0.5475,-0.709,1.06
6.635552,-0.3352,-0.4029,-0.7637,0.93
6.652228,-0.3176,-0.4067,-0.7657,0.92
6.674101,-0.4584,-0.5123,-0.7852,1.04
6.706671,-0.4935,-0.5494,-0.7891,1.08
6.706884,-0.4935,-0.5494,-0.7891,1.08
