time,gFx,gFy,gFz,TgF
5.000518,0.9211,-0.1391,-0.1853,0.95
5.017835,0.9523,-0.1156,-0.1814,0.98
5.053502,1.0638,-0.1019,-0.2635,1.1
5.077586,1.011,-0.1195,-0.2713,1.05
5.077855,1.011,-0.1195,-0.2713,1.05
5.100524,0.9133,-0.1254,-0.2615,0.96
5.116763,0.9015,-0.1254,-0.2576,0.95
5.155362,0.9739,-0.1039,-0.285,1.02
5.185687,0.9778,-0.0883,-0.2576,1.01
5.185881,0.9778,-0.0883,-0.2576,1.01
5.197662,0.9523,-0.0921,-0.244,0.99
5.232453,0.9621,-0.1019,-0.244,1.0
5.253899,0.9621,-0.1058,-0.2557,1.0
5.290815,0.9621,-0.1,-0.2459,1.0
5.291031,0.9621,-0.1,-0.2459,1.0
5.297296,0.9562,-0.1019,-0.2538,0.99
5.332146,0.968,-0.1078,-0.2517,1.01
5.353741,0.9621,-0.1176,-0.2517,1.0
5.377037,0.9621,-0.1195,-0.2557,1.0
5.381658,0.9621,-0.1137,-0.2538,1.0
5.398959,0.9602,-0.1078,-0.2517,1.0
5.431664,0.9583,-0.1078,-0.2517,1.0
5.453473,0.9621,-0.1117,-0.2517,1.0
5.497206,0.9543,-0.1214,-0.2615,1.0
5.497571,0.9543,-0.1176,-0.2596,1.0
5.513047,0.9445,-0.1137,-0.2459,0.98
5.531039,0.9583,-0.1097,-0.2576,1.0
5.547524,0.9504,-0.1097,-0.2635,0.99
5.568924,0.9504,-0.1058,-0.2401,0.99
5.594412,0.9504,-0.1097,-0.2459,0.99
5.612838,0.9445,-0.1039,-0.2596,0.99
5.629654,0.9504,-0.1351,-0.2615,0.99
5.652383,0.9387,-0.1312,-0.2713,0.99
5.679748,0.9426,-0.1312,-0.285,0.99
5.695939,0.9485,-0.1332,-0.2771,1.0
5.712374,0.9445,-0.1293,-0.2713,0.99
5.730244,0.9465,-0.1214,-0.2811,0.99
5.74671,0.9485,-0.1156,-0.2889,1.0
5.76824,0.9504,-0.0941,-0.2694,0.99
5.793782,0.9621,-0.0804,-0.2498,1.0
5.81183,0.9797,-0.0667,-0.2381,1.01
5.828784,0.9816,-0.0492,-0.2322,1.01
5.849558,0.9797,-0.0375,-0.2361,1.01
5.875305,0.9895,-0.0336,-0.242,1.02
5.895185,0.9856,-0.0355,-0.2381,1.01
5.911142,0.9758,-0.0394,-0.2401,1.01
5.92869,0.9778,-0.0569,-0.2381,1.01
5.950255,0.968,-0.0785,-0.244,1.0
5.982388,0.9758,-0.0823,-0.2557,1.01
5.993767,0.968,-0.0883,-0.2498,1.0
