time,gFx,gFy,gFz,TgF
5.002165,0.714,-0.0941,-0.3905,0.82
5.012514,0.7355,-0.0863,-0.4159,0.85
5.029416,0.8039,-0.0804,-0.4159,0.91
5.062961,0.884,-0.0394,-0.3827,0.96
5.080185,0.8781,-0.0823,-0.369,0.96
5.097672,0.841,-0.0804,-0.3593,0.92
5.110646,0.843,-0.0511,-0.3534,0.92
5.129295,0.9075,0.0035,-0.3397,0.97
5.162911,0.9543,-0.0355,-0.3827,1.03
5.178123,0.9133,-0.0785,-0.412,1.0
5.198926,0.837,-0.0765,-0.455,0.96
5.216731,0.839,-0.0433,-0.4003,0.93
5.245678,0.843,-0.2015,-0.4823,0.99
5.262005,0.8801,-0.1899,-0.41,0.99
5.27916,1.0501,-0.0336,-0.4061,1.13
5.298344,1.4115,0.1852,-0.3162,1.46
5.317698,1.562,0.277,-0.0877,1.59
5.344639,1.0833,-0.0804,-0.1658,1.1
5.361354,0.9231,-0.2192,-0.2068,0.97
5.380021,0.8703,-0.2914,-0.2811,0.96
5.396698,1.0012,-0.3051,-0.3514,1.1
5.410647,1.1693,-0.2934,-0.3768,1.26
5.442972,1.2357,-0.2641,-0.3514,1.31
5.460222,1.1672,-0.2036,-0.2342,1.21
5.476794,1.0598,-0.1645,-0.2322,1.1
5.49636,0.8761,-0.1176,-0.1776,0.9
5.511454,0.8097,-0.1019,-0.1483,0.83
5.542547,0.7921,-0.0531,-0.2126,0.82
5.560303,0.925,-0.0453,-0.2596,0.96
5.575657,1.0617,-0.0727,-0.1932,1.08
5.595543,1.0403,-0.0941,-0.1483,1.06
5.627449,0.9192,-0.1859,-0.1795,0.95
5.641721,0.8527,-0.1918,-0.1853,0.89
5.658223,0.8019,-0.1782,-0.2284,0.85
5.677951,0.8527,-0.1468,-0.244,0.9
5.692223,0.9348,-0.1488,-0.2205,0.97
5.725022,0.9152,-0.2133,-0.2967,0.99
5.742864,0.7765,-0.1996,-0.2771,0.85
5.757534,0.7355,-0.1762,-0.203,0.78
5.778084,0.7296,-0.1508,-0.1639,0.76
5.808208,0.8468,-0.0746,-0.242,0.88
5.82435,0.9094,-0.0706,-0.3162,0.97
5.841385,0.8332,-0.0727,-0.2342,0.87
5.878357,0.8644,-0.0727,-0.2733,0.91
5.891205,0.8664,-0.0981,-0.2733,0.91
5.908585,0.8136,-0.1351,-0.2694,0.87
5.924446,0.7492,-0.1488,-0.3045,0.82
5.941485,0.7394,-0.182,-0.3339,0.83
5.974826,0.837,-0.0687,-0.2908,0.89
5.995811,0.9856,0.0073,-0.3534,1.05
6.022676,1.3412,0.0582,-0.5156,1.44
6.022879,1.3412,0.0582,-0.5156,1.44
6.040827,1.5132,0.0797,-0.5527,1.61
6.078238,1.2806,-0.0413,-0.6133,1.42
6.091813,1.2767,0.0914,-0.6328,1.43
6.106902,1.5014,0.1207,-0.5859,1.62
6.125283,1.4135,0.0972,-0.5723,1.53
6.142161,0.9719,0.0855,-0.5293,1.11
6.176582,0.7804,-0.0355,-0.4061,0.88
6.198582,0.8214,-0.0179,-0.3807,0.91
6.205988,0.8586,-0.0082,-0.3905,0.94
6.22263,0.882,0.025,-0.4003,0.97
6.255197,0.8039,-0.012,-0.371,0.89
6.278029,0.7257,-0.0159,-0.3436,0.8
6.28944,0.6944,-0.0218,-0.328,0.77
6.304486,0.6651,-0.0277,-0.3241,0.74
6.339139,0.6124,-0.0844,-0.3807,0.73
6.355729,0.5831,-0.1039,-0.4374,0.74
6.37305,0.5713,-0.0844,-0.4491,0.73
6.391495,0.6221,-0.0316,-0.41,0.75
6.403767,0.6514,0.0035,-0.412,0.77
6.438106,0.6964,-0.0062,-0.3553,0.78
6.454789,0.673,0.0035,-0.3241,0.75
6.47188,0.6866,0.0035,-0.2869,0.74
6.494091,0.8449,-0.0082,-0.2576,0.88
6.508099,0.8605,0.0015,-0.3085,0.91
6.538999,0.7823,-0.141,-0.371,0.88
6.554813,0.7745,-0.1801,-0.3886,0.89
6.571073,0.843,-0.1371,-0.4335,0.96
6.592268,0.9758,-0.1488,-0.4941,1.1
6.621534,1.1672,-0.0706,-0.5136,1.28
6.637485,1.4311,0.1207,-0.4804,1.51
6.654062,1.734,0.2321,-0.3984,1.79
6.671096,1.4623,0.2712,-0.1736,1.5
6.692472,1.2669,0.0094,-0.285,1.3
6.713882,1.6695,-0.3305,-0.2361,1.72
6.737274,0.9367,-0.2974,-0.4471,1.08
6.754187,0.6221,-0.3736,-0.4531,0.86
6.769437,0.7413,-0.3442,-0.3788,0.9
6.793051,1.0226,-0.012,-0.2752,1.06
6.818741,1.3432,0.068,-0.3104,1.38
6.836097,1.1556,0.0133,-0.2615,1.18
6.853453,0.9543,-0.1449,-0.2244,0.99
6.886136,0.8684,-0.229,-0.3241,0.95
6.907008,0.7725,-0.1976,-0.2987,0.85
6.928029,0.7862,-0.1,-0.2576,0.83
6.934906,0.8058,-0.0902,-0.2498,0.85
6.950992,0.8781,-0.0823,-0.242,0.91
6.985852,0.9054,-0.1312,-0.2401,0.95
7.006585,0.9035,-0.1468,-0.2674,0.95
7.028751,0.8781,-0.1488,-0.2576,0.93
7.034172,0.8781,-0.1508,-0.2479,0.92
7.052592,0.837,-0.141,-0.203,0.87
7.085362,0.7883,-0.096,-0.242,0.83
7.106592,0.8097,-0.0823,-0.2303,0.85
7.129566,0.8234,-0.0902,-0.2205,0.86
7.132576,0.8273,-0.0941,-0.2263,0.86
7.1514,0.8136,-0.096,-0.2263,0.85
7.185288,0.839,-0.1293,-0.2557,0.89
7.208514,0.9075,-0.1195,-0.2615,0.95
7.227884,0.9485,-0.1,-0.285,1.0
7.232677,0.9387,-0.0981,-0.2948,0.99
7.266048,0.7843,-0.1528,-0.3202,0.86
7.283979,0.7452,-0.1645,-0.3026,0.82
7.307202,0.7198,-0.1449,-0.3495,0.81
7.317321,0.7531,-0.1547,-0.3124,0.83
7.333072,0.8312,-0.0413,-0.3984,0.92
7.36508,1.2396,0.0895,-0.3984,1.31
7.383613,1.394,0.0328,-0.3514,1.44
7.404092,1.2494,0.0191,-0.414,1.32
7.429047,1.3021,0.2126,-0.4745,1.4
7.433947,1.3588,0.2243,-0.4765,1.46
7.465716,1.3979,0.1344,-0.625,1.54
7.486625,1.1262,-0.012,-0.5547,1.26
7.514019,0.8273,-0.0687,-0.4589,0.95
7.532108,0.8019,-0.1137,-0.455,0.93
7.548055,0.8293,-0.1156,-0.5018,0.98
7.565097,0.9015,-0.0863,-0.498,1.03
7.586234,0.9308,0.0348,-0.4511,1.03
7.605054,0.9035,0.109,-0.412,1.0
7.632277,0.8156,0.1344,-0.373,0.91
7.649108,0.7823,0.1188,-0.3456,0.86
7.66497,0.7589,0.0485,-0.3378,0.83
7.686054,0.6495,-0.0453,-0.3651,0.75
7.709824,0.5655,-0.0746,-0.4003,0.7
7.731141,0.5615,-0.0823,-0.4061,0.7
7.750331,0.5615,-0.0609,-0.4257,0.71
7.764396,0.5831,-0.059,-0.4159,0.72
7.784122,0.628,-0.055,-0.4179,0.76
7.819874,0.6456,-0.0159,-0.3416,0.73
7.829099,0.6358,-0.0199,-0.3416,0.72
7.846893,0.671,-0.0648,-0.2674,0.73
7.863435,0.7471,-0.059,-0.242,0.79
