time,gFx,gFy,gFz,TgF
5.007392,0.9816,0.2849,-0.0193,1.02
5.028803,0.9699,0.2282,-0.0427,1.0
5.049854,0.9465,0.2341,-0.072,0.98
5.074997,0.9445,0.2282,-0.1169,0.98
5.091746,0.9465,0.1852,-0.1365,0.97
5.107833,0.8586,0.2672,-0.0486,0.9
5.128638,1.0051,0.2595,-0.0994,1.04
5.148859,0.9387,0.2595,-0.1462,0.98
5.174509,0.8761,0.1461,-0.0681,0.89
5.191059,0.7687,0.1168,0.1076,0.78
5.206938,0.7823,0.1363,0.1585,0.81
5.227989,0.8547,0.1344,0.1487,0.88
5.247897,0.9054,0.2868,0.3069,1.0
5.274275,0.9797,0.2164,0.2894,1.04
5.291036,0.882,0.109,0.0764,0.89
5.307585,0.8488,0.0543,0.047,0.85
5.32727,1.0305,0.0464,0.0724,1.03
5.350625,1.0207,0.0211,0.1565,1.03
5.373218,0.9583,0.0133,0.2738,1.0
5.389673,1.0931,0.1813,0.3734,1.17
5.426956,1.1341,0.1989,0.1096,1.16
5.428097,1.0931,0.1852,0.1272,1.12
5.453871,0.8625,0.1442,0.1565,0.89
5.472567,0.7706,0.191,0.1487,0.81
5.489547,0.7471,0.2458,0.1995,0.81
5.511302,0.7471,0.2399,0.1937,0.81
5.548965,0.7785,0.1657,0.0354,0.8
5.549308,0.7785,0.1657,0.0354,0.8
5.571148,0.8332,0.1324,0.0822,0.85
5.589071,0.8879,0.109,0.1683,0.91
5.626147,1.0461,0.2243,0.1976,1.09
5.654082,1.1145,0.195,0.0861,1.13
5.654361,1.1145,0.195,0.0861,1.13
5.670796,1.1458,0.1461,0.0588,1.16
5.705033,1.0735,0.2301,0.1057,1.1
5.725289,0.966,0.2732,0.0842,1.01
5.752418,0.9504,0.2145,0.0276,0.97
5.7527,0.9504,0.2145,0.0276,0.97
5.772114,0.9856,0.2282,0.0666,1.01
5.804615,1.1029,0.3454,0.135,1.16
5.820475,1.1165,0.3494,0.1018,1.17
5.841196,1.0501,0.3415,0.1174,1.11
