time,gFx,gFy,gFz,TgF
5.01472,0.9876,0.1324,-0.1521,1.01
5.030157,0.9699,0.1422,-0.1423,0.99
5.047087,0.9621,0.1657,-0.1071,0.98
5.093177,0.9836,0.1266,-0.1541,1.0
5.093469,0.9836,0.1266,-0.1541,1.0
5.113774,0.9485,0.1617,-0.1502,0.97
5.129717,0.9699,0.1403,-0.1385,0.99
5.166795,0.9719,0.2301,-0.1443,1.01
5.188576,0.9836,0.1891,-0.1267,1.01
5.188829,0.9836,0.1891,-0.1267,1.01
5.211372,0.9934,0.1774,-0.1208,1.02
5.229,0.9914,0.1754,-0.115,1.01
5.265567,0.968,0.2145,-0.1502,1.0
5.296491,0.9719,0.1891,-0.1639,1.0
5.296743,0.9719,0.1891,-0.1639,1.0
5.310835,0.9094,0.2497,-0.1658,0.96
5.344928,0.8898,0.1735,-0.1071,0.91
5.365653,1.0559,0.025,-0.2107,1.08
5.389921,1.095,0.0015,-0.2284,1.12
5.392763,1.0833,0.0152,-0.2244,1.11
5.411091,0.9699,0.0523,-0.1834,0.99
5.444403,0.9543,0.0601,-0.197,0.98
5.464291,0.9719,0.0718,-0.199,0.99
5.489419,0.9895,0.0992,-0.1853,1.01
5.491967,0.9972,0.1032,-0.1776,1.02
5.52633,0.9972,0.1109,-0.158,1.02
5.543875,0.9895,0.1188,-0.158,1.01
5.563791,0.9778,0.1168,-0.1619,1.0
5.583214,0.9719,0.113,-0.1658,0.99
5.593422,0.9797,0.113,-0.1658,1.0
5.627461,0.9778,0.1012,-0.1658,1.0
5.643145,0.9836,0.0855,-0.1814,1.0
5.663881,0.9778,0.0739,-0.1776,1.0
5.685955,0.9719,0.0895,-0.1716,0.99
5.709465,0.9739,0.0972,-0.1756,0.99
5.725493,0.9797,0.1051,-0.1599,1.0
5.743218,0.9895,0.1324,-0.1483,1.01
5.763556,0.9816,0.1383,-0.156,1.0
5.784212,0.9719,0.1286,-0.1716,1.0
5.809781,0.9699,0.1149,-0.1814,0.99
5.824889,0.968,0.1149,-0.1776,0.99
5.842243,0.9719,0.1051,-0.1912,1.0
5.862128,0.9816,0.0855,-0.1951,1.0
5.889722,0.9778,0.0797,-0.203,1.0
5.908071,0.9778,0.0836,-0.2068,1.0
5.924772,0.9699,0.0816,-0.2107,1.0
5.940433,0.9699,0.0778,-0.2049,0.99
5.961931,0.9778,0.0601,-0.1932,1.0
5.991323,0.9953,0.0855,-0.1541,1.01
6.00759,0.9816,0.1012,-0.1678,1.0
6.024124,0.9739,0.0992,-0.1599,0.99
6.040537,0.9797,0.0836,-0.1639,1.0
6.060414,0.9972,0.0739,-0.1443,1.01
6.083948,0.9914,0.0797,-0.1326,1.0
6.107284,0.9758,0.1109,-0.1267,0.99
6.124561,0.9797,0.1149,-0.1385,1.0
6.140005,0.9953,0.0992,-0.1423,1.01
6.160293,0.9972,0.0855,-0.1208,1.01
