time,gFx,gFy,gFz,TgF
5.021626,1.0344,0.277,-0.1404,1.08
5.022049,1.0344,0.277,-0.1404,1.08
5.040424,1.2787,0.2399,-0.1483,1.31
5.07443,1.3275,0.2458,-0.1932,1.36
5.09485,1.0051,0.2809,-0.1404,1.05
5.113074,0.8312,0.2868,-0.1795,0.9
5.123764,0.7921,0.2966,-0.1814,0.87
5.140497,0.7862,0.3005,-0.1736,0.86
5.173665,0.8957,0.2927,-0.1423,0.95
5.19421,0.9543,0.2946,-0.1795,1.01
5.216603,0.9778,0.2829,-0.1932,1.04
5.222063,0.9836,0.2712,-0.1893,1.04
5.255647,1.009,0.2067,-0.2831,1.07
5.27371,1.0207,0.1833,-0.3495,1.09
5.293538,1.0305,0.1657,-0.3397,1.1
5.322741,0.9387,0.1637,-0.3456,1.01
5.338617,0.9485,0.1403,-0.3749,1.03
5.355107,0.9426,0.1149,-0.3924,1.03
5.372757,0.9465,0.1109,-0.3944,1.03
5.393827,0.9583,0.1286,-0.3963,1.04
5.407861,0.9602,0.1481,-0.3847,1.04
5.422757,0.9445,0.1598,-0.3807,1.03
5.455446,0.8507,0.1735,-0.3651,0.94
5.472656,0.8195,0.1989,-0.3514,0.91
5.493314,0.839,0.2087,-0.3397,0.93
5.504192,0.8586,0.2087,-0.3221,0.94
5.538561,0.8488,0.195,-0.3436,0.94
5.554729,0.8449,0.1637,-0.3456,0.93
5.570297,0.8644,0.1559,-0.3436,0.94
5.592535,0.8879,0.1383,-0.3397,0.96
5.60626,0.8898,0.1188,-0.3456,0.96
5.638101,0.9523,0.0855,-0.3202,1.01
5.653767,1.0032,0.1286,-0.3085,1.06
5.669534,1.0188,0.1813,-0.3104,1.08
5.696937,1.0188,0.1852,-0.3339,1.09
5.708679,0.9876,0.1579,-0.326,1.05
5.737223,0.8449,0.0953,-0.3104,0.91
5.75411,0.8351,0.0718,-0.3085,0.89
5.769848,0.8761,0.0816,-0.3182,0.94
5.791399,0.966,0.0718,-0.3085,1.02
5.817237,0.968,0.0601,-0.2811,1.01
5.836888,0.9504,0.0836,-0.2381,0.98
5.852981,0.9504,0.1109,-0.2147,0.98
5.869259,0.9739,0.1305,-0.2205,1.01
5.889985,1.0286,0.1696,-0.2322,1.07
5.919619,0.9876,0.1442,-0.2205,1.02
5.936538,0.9562,0.1012,-0.2126,0.98
5.952333,0.9426,0.0445,-0.2107,0.97
5.98807,0.9797,0.0485,-0.2303,1.01
6.016357,0.9739,0.0739,-0.2166,1.0
6.016613,0.9739,0.0739,-0.2166,1.0
6.034263,0.9699,0.0797,-0.2166,1.0
6.053226,0.9876,0.0739,-0.2126,1.01
6.088977,0.9739,0.0523,-0.2303,1.0
6.111658,0.9816,0.0464,-0.2401,1.01
6.117273,0.9856,0.0504,-0.2459,1.02
6.134067,0.9797,0.0504,-0.244,1.01
6.168552,0.9465,0.0641,-0.2147,0.97
6.18985,0.9387,0.0543,-0.2205,0.97
6.217459,0.9719,0.0308,-0.2322,1.0
6.21789,0.9836,0.0289,-0.2322,1.01
6.233926,1.0051,0.0231,-0.2303,1.03
6.267956,1.0266,0.0504,-0.197,1.05
6.28474,0.9953,0.0758,-0.197,1.02
6.30549,0.9953,0.0836,-0.203,1.02
6.329494,0.9797,0.0601,-0.2381,1.01
6.349585,0.9641,-0.0023,-0.2771,1.0
6.366971,0.9914,-0.0433,-0.3202,1.04
