time,gFx,gFy,gFz,TgF
5.029368,0.9719,-0.0316,-0.2576,1.01
5.030016,0.9719,-0.0316,-0.2576,1.01
5.057886,0.9758,0.0035,-0.2186,1.0
5.076166,1.0012,0.0758,-0.1853,1.02
5.089561,0.9856,0.109,-0.1599,1.0
5.123033,0.9075,0.107,-0.0505,0.92
5.141755,0.9816,0.025,-0.0975,0.99
5.158991,1.1106,-0.0492,-0.1326,1.12
5.175083,1.222,-0.0727,-0.1365,1.23
5.190365,1.2474,-0.0336,-0.1229,1.25
5.226972,0.8625,0.1383,-0.2713,0.91
5.24096,0.7471,0.1012,-0.3221,0.82
5.257734,0.7413,0.0073,-0.3436,0.82
5.274572,0.8488,-0.0902,-0.3319,0.92
5.294183,1.0403,-0.0765,-0.3104,1.09
5.326377,1.1048,0.1266,-0.2733,1.15
5.343426,1.0149,0.1735,-0.199,1.05
5.357121,0.9602,0.1715,-0.1756,0.99
5.374139,0.884,0.1461,-0.1814,0.91
5.409655,0.8566,0.066,-0.2147,0.89
5.432075,0.9192,0.066,-0.2361,0.95
5.438052,0.9211,0.0739,-0.2342,0.95
5.456755,0.9348,0.0836,-0.244,0.97
5.490171,0.9133,0.0758,-0.2517,0.95
5.506053,0.9211,0.0601,-0.2538,0.96
5.525892,0.9192,0.0504,-0.2694,0.96
5.537663,0.8977,0.0445,-0.2752,0.94
5.57279,0.8507,0.0015,-0.2929,0.9
5.589247,0.8703,0.0171,-0.2908,0.92
5.605626,0.9171,0.0445,-0.2733,0.96
5.625616,0.9406,0.0797,-0.2811,0.98
5.643034,0.9543,0.068,-0.2635,0.99
5.672032,0.9465,0.0348,-0.2479,0.98
5.688994,0.966,0.0035,-0.2713,1.0
5.705683,0.9523,-0.0492,-0.3416,1.01
5.728823,0.9523,-0.1782,-0.4179,1.06
5.745101,0.9993,-0.2348,-0.4003,1.1
5.771497,1.394,0.0426,-0.2576,1.42
5.788561,1.5463,0.2672,-0.2284,1.59
5.80473,1.4448,0.3377,-0.2342,1.5
5.82531,1.0442,0.2008,-0.1423,1.07
5.851562,0.7081,0.0562,-0.1756,0.73
5.869793,0.6104,0.0073,-0.1697,0.63
5.887837,0.6574,-0.014,-0.1541,0.68
5.904165,0.8605,-0.0023,-0.1541,0.87
5.924455,1.1341,0.0191,-0.1092,1.14
