time,gFx,gFy,gFz,TgF
5.023363,1.011,0.1246,-0.0407,1.02
5.039498,0.9914,0.1149,0.0237,1.0
5.055638,0.9836,0.1266,-0.027,0.99
5.07701,0.9387,0.2164,-0.0564,0.96
5.099415,0.9914,0.2595,-0.029,1.03
5.123075,0.9856,0.2439,0.0901,1.02
5.139435,0.9583,0.2516,0.1115,1.0
5.176782,0.9367,0.2672,0.0588,0.98
5.20266,1.0305,0.1989,0.0237,1.05
5.203003,1.0305,0.1989,0.0237,1.05
5.222691,1.0051,0.2164,0.135,1.04
5.239699,1.0226,0.1109,0.1194,1.04
5.275023,1.0149,0.154,0.217,1.05
5.287958,1.1106,0.0914,0.262,1.14
5.304353,1.2161,-0.0687,0.5278,1.33
5.321477,1.1302,-0.0667,0.5258,1.25
5.354687,0.8801,-0.1117,-0.0212,0.89
5.371502,0.755,-0.014,-0.3241,0.82
5.393276,0.7159,0.1286,-0.4765,0.87
5.416615,0.8586,0.1168,-0.2635,0.91
5.420349,0.8761,0.1051,-0.244,0.92
5.454639,0.9035,-0.0082,-0.244,0.94
5.471206,1.0871,-0.2231,-0.3905,1.18
5.490873,1.693,-0.7233,0.3695,1.88
5.508658,1.1536,0.0152,0.2522,1.18
5.536924,0.6807,0.3806,0.305,0.84
5.553981,0.8879,0.0914,-0.0857,0.9
5.569797,0.9445,-0.1214,-0.4394,1.05
5.591011,1.1751,-0.0238,-0.4843,1.27
5.623335,1.0324,0.0133,0.0295,1.03
5.635918,0.9308,0.0308,0.0393,0.93
5.652867,1.0266,0.0054,-0.0817,1.03
5.670606,1.0969,-0.0296,-0.3143,1.14
5.690339,0.966,0.0582,-0.2908,1.01
5.720009,0.9876,-0.0179,-0.2205,1.01
5.735204,0.8605,-0.0277,-0.1131,0.87
5.752523,0.798,-0.0199,-0.0798,0.8
5.769474,0.839,-0.0179,-0.0251,0.84
5.78949,0.8039,-0.1,-0.0779,0.81
5.818299,1.011,-0.3638,-0.0584,1.08
5.836327,0.9797,-0.3384,-0.0954,1.04
5.851083,0.9934,-0.4185,-0.0486,1.08
5.872796,1.2044,-0.4263,-0.0817,1.28
5.893054,1.3236,-0.2192,-0.242,1.36
5.917991,0.8195,0.1989,0.2249,0.87
5.933611,0.669,0.2341,0.346,0.79
5.950296,0.9133,0.0699,-0.0681,0.92
5.972333,0.9914,-0.0706,-0.2908,1.04
5.994244,1.0442,-0.1391,-0.3495,1.11
6.017874,0.9465,0.0601,0.0178,0.95
6.034478,1.1576,-0.0413,-0.7207,1.36
6.070113,0.8742,-0.1586,-0.1423,0.9
6.096464,0.9015,-0.2153,-0.2224,0.95
6.099223,0.9192,-0.2113,-0.2361,0.97
6.117772,0.9035,-0.2015,-0.1599,0.94
6.134499,0.9445,-0.2015,-0.0779,0.97
6.173471,1.0774,-0.2563,-0.1872,1.12
6.174056,1.0774,-0.2563,-0.1872,1.12
6.202555,1.0559,-0.2329,-0.3006,1.12
6.21604,1.0696,-0.184,-0.3006,1.13
6.250297,0.8253,-0.0101,-0.1267,0.84
6.2654,0.798,0.0308,-0.3651,0.88
6.286115,0.7608,-0.0473,-0.3924,0.86
6.304916,0.7745,-0.0296,-0.2303,0.81
6.316307,0.7999,-0.0883,-0.2929,0.86
6.349493,0.7745,-0.1058,-0.2498,0.82
6.365771,0.8938,-0.0062,-0.3045,0.94
6.385544,1.1439,-0.0433,-0.1287,1.15
6.417393,1.1341,-0.1605,-0.1229,1.15
6.417647,1.1341,-0.1605,-0.1229,1.15
6.448822,1.1516,-0.3755,0.0901,1.21
6.46515,0.9953,-0.3442,-0.0388,1.05
6.489239,0.8253,-0.1586,-0.1756,0.86
6.521299,0.9953,-0.2133,-0.0603,1.02
6.521535,0.9953,-0.2133,-0.0603,1.02
