time,gFx,gFy,gFz,TgF
5.01512,1.5288,0.2458,-0.0759,1.55
5.041547,1.8903,0.3103,-0.4687,1.97
5.058802,1.8493,0.2262,-0.4725,1.92
5.075602,1.5659,0.1226,-0.4022,1.62
5.116874,1.1595,0.0895,-0.1052,1.17
5.117401,1.1595,0.0895,-0.1052,1.17
5.141561,1.136,0.2224,0.0158,1.16
5.157962,1.1243,0.2418,-0.0661,1.15
5.194744,0.968,0.1696,-0.3241,1.03
5.21268,0.841,0.1109,-0.2479,0.88
5.223743,0.7687,0.0406,-0.1697,0.79
5.240917,0.6534,-0.0667,-0.0954,0.66
5.274402,0.3798,-0.1254,-0.1345,0.42
5.295211,0.3016,-0.0941,-0.0817,0.33
5.312286,0.3212,-0.0883,-0.033,0.33
5.322613,0.3388,-0.0883,-0.027,0.35
5.339387,0.3975,-0.0844,-0.0486,0.41
5.376517,0.7511,0.0543,-0.1462,0.77
5.404286,1.2533,0.1442,-0.1853,1.28
5.404488,1.2533,0.1442,-0.1853,1.28
5.422294,1.564,0.2692,-0.2771,1.61
5.455265,1.8532,0.3181,-0.2342,1.89
5.472833,1.7769,0.2126,-0.033,1.79
5.493102,1.4858,0.1735,0.0197,1.5
5.521526,1.0266,0.1246,0.0686,1.04
5.521796,1.0266,0.1246,0.0686,1.04
5.554954,0.9719,-0.0355,-0.1229,0.98
5.572191,1.2885,-0.1976,-0.3847,1.36
5.592797,1.4428,-0.2641,-0.4862,1.55
5.625871,1.1986,-0.0511,-0.2263,1.22
5.637722,1.0794,0.0445,-0.072,1.08
5.654945,0.9504,0.113,0.0588,0.96
5.672051,0.8175,0.1442,0.0373,0.83
5.691934,0.6827,0.1559,-0.072,0.7
5.723652,0.4248,0.0231,-0.0896,0.43
5.736764,0.3466,-0.0179,-0.0661,0.35
5.753706,0.286,-0.0667,-0.0388,0.3
5.770734,0.329,-0.0902,-0.0584,0.35
5.789172,0.5322,-0.0727,-0.0877,0.54
5.820626,0.884,-0.055,-0.0525,0.89
5.835558,1.0422,-0.0433,-0.0838,1.05
5.853733,1.1986,-0.0629,-0.0975,1.2
5.869682,1.2631,-0.1078,-0.0975,1.27
5.924015,0.6924,-0.2231,-0.2498,0.77
5.924258,0.6924,-0.2231,-0.2498,0.77
5.935458,0.6807,-0.2211,-0.1483,0.73
5.953625,0.7667,-0.0981,-0.0153,0.77
5.988373,1.1868,0.2809,-0.0447,1.22
6.002822,1.435,0.4549,-0.285,1.53
6.020007,1.6812,0.5252,-0.5253,1.84
6.03677,1.8239,0.3885,-0.5742,1.95
6.053112,1.8258,0.2126,-0.4296,1.89
6.090828,1.4467,0.0562,-0.1756,1.46
6.100569,1.3353,0.0582,-0.197,1.35
6.1177,1.179,0.0387,-0.1776,1.19
6.135559,1.1282,-0.0159,-0.1912,1.14
6.16871,0.9719,0.0523,-0.2596,1.01
6.189136,0.8293,0.109,-0.2517,0.87
6.200156,0.7335,0.1266,-0.2166,0.78
6.218435,0.5518,0.0895,-0.1462,0.58
6.235345,0.4131,0.0211,-0.1111,0.43
6.26784,0.2489,-0.055,-0.1345,0.29
6.288561,0.204,-0.055,-0.1893,0.28
6.300762,0.202,-0.059,-0.1932,0.29
6.317092,0.2469,-0.0941,-0.1385,0.3
6.350738,0.5244,-0.0218,0.0334,0.53
6.367599,0.8019,0.0797,-0.0407,0.81
6.388276,1.2279,0.1266,-0.2538,1.26
6.414195,1.7496,0.2478,-0.6113,1.87
6.416689,1.7496,0.2478,-0.6113,1.87
6.449722,1.6011,0.406,-0.2088,1.66
6.467864,1.4995,0.3161,0.0432,1.53
6.483658,1.4799,0.2576,0.0803,1.5
6.503724,1.4213,0.2087,0.0647,1.44
6.531961,1.095,0.0445,-0.0114,1.1
6.54945,0.9445,-0.1137,-0.0681,0.95
6.565645,0.9856,-0.1488,-0.4257,1.08
6.587516,1.2806,-0.2055,-0.6778,1.46
6.613764,1.1907,-0.1722,-0.2126,1.22
6.63133,1.1576,-0.0413,-0.0349,1.16
6.64863,1.136,0.0015,-0.0114,1.14
6.666068,1.0422,0.0718,-0.0212,1.04
6.684773,0.9485,0.1403,-0.0114,0.96
6.716021,0.7042,0.1891,0.0354,0.73
6.73111,0.6026,0.1715,0.0334,0.63
6.748222,0.5322,0.1149,-0.033,0.55
6.764578,0.501,0.0445,-0.1013,0.51
6.786075,0.499,-0.0394,-0.1678,0.53
6.814992,0.5615,-0.0823,-0.1229,0.58
6.83133,0.5596,-0.0511,-0.072,0.57
6.848071,0.5615,-0.0159,-0.0623,0.57
6.865575,0.6026,-0.0023,-0.0798,0.61
6.900211,0.796,-0.1976,-0.1071,0.83
6.928833,1.1419,-0.2231,-0.0349,1.16
6.929034,1.1419,-0.2231,-0.0349,1.16
6.946877,1.2591,-0.1235,-0.0036,1.27
6.985085,1.394,0.279,0.0705,1.42
7.01402,1.5717,0.4373,-0.1912,1.64
7.01424,1.5717,0.4373,-0.1912,1.64
7.029207,1.6851,0.3885,-0.4198,1.78
7.047169,1.6265,0.3005,-0.5214,1.73
7.08484,1.4154,0.1931,-0.2538,1.45
7.115234,1.1732,0.195,-0.1248,1.2
7.115453,1.1732,0.195,-0.1248,1.2
7.129384,1.1008,0.1207,-0.1541,1.12
7.1631,0.9192,-0.0336,-0.3593,0.99
7.178828,0.7804,-0.0785,-0.3202,0.85
7.199389,0.6534,-0.1019,-0.2244,0.7
7.226787,0.5186,-0.0531,-0.0857,0.53
7.245923,0.4013,0.0387,-0.0447,0.41
7.262502,0.3623,0.1403,-0.0388,0.39
7.278722,0.3955,0.1442,-0.0564,0.42
7.300365,0.4873,0.0211,-0.1736,0.52
7.325526,0.5479,-0.0257,-0.3202,0.64
7.345311,0.5792,0.0133,-0.3006,0.65
7.362419,0.7042,0.0699,-0.1853,0.73
7.378452,0.9445,0.1168,-0.0407,0.95
7.397931,1.2669,0.1833,-0.0349,1.28
7.438209,1.8746,0.1891,-0.2205,1.9
7.438431,1.8746,0.1891,-0.2205,1.9
7.461075,1.7808,0.2907,-0.1229,1.81
7.477891,1.6245,0.361,-0.0193,1.66
7.498942,1.349,0.3357,0.0842,1.39
7.538736,0.8175,0.0133,-0.1716,0.84
7.538968,0.8175,0.0133,-0.1716,0.84
7.560498,1.0892,-0.2621,-0.6816,1.31
7.578597,1.1399,-0.2485,-0.713,1.37
7.598247,1.1165,-0.1488,-0.3963,1.19
