time,gFx,gFy,gFz,TgF
5.016097,0.5733,0.0406,-0.1306,0.59
5.038664,0.6162,-0.0257,-0.1502,0.63
5.055229,0.6416,-0.0492,-0.1033,0.65
5.072056,0.6886,-0.0042,-0.0857,0.69
5.092164,0.8019,0.0895,-0.0915,0.81
5.120023,0.9445,0.025,-0.1795,0.96
5.135706,1.0579,-0.0082,-0.2088,1.08
5.154045,1.2181,0.0543,-0.1404,1.23
5.170802,1.3627,0.1403,-0.1131,1.37
5.191738,1.4369,0.2145,-0.1111,1.46
5.218677,1.4038,0.32,-0.033,1.44
5.236293,1.4389,0.3435,0.0295,1.48
5.254047,1.3451,0.4353,0.0979,1.42
5.270745,1.1419,0.4568,0.2405,1.25
5.290036,0.966,0.3748,0.2582,1.07
5.317225,0.8116,0.2458,0.0628,0.85
5.335864,0.7608,0.1715,0.0491,0.78
5.353474,0.7492,0.1266,0.051,0.76
5.388228,0.9523,-0.0375,0.1213,0.96
5.420382,1.1224,-0.0785,0.0451,1.13
5.420604,1.1224,-0.0785,0.0451,1.13
5.434749,1.1204,0.0171,0.0314,1.12
5.451634,1.0735,0.1403,0.0491,1.08
5.474654,0.9816,0.1617,0.0451,1.0
5.499678,0.7725,0.1266,0.0041,0.78
5.518303,0.6456,0.0523,-0.0349,0.65
5.535624,0.5655,0.0054,-0.0349,0.57
5.56945,0.5576,-0.0082,0.0432,0.56
5.583339,0.5576,0.0113,0.0822,0.56
5.601048,0.667,0.0054,0.1506,0.68
5.618697,0.7648,0.0191,0.1487,0.78
5.634673,0.8293,0.0406,0.1526,0.84
5.670066,0.9054,0.0718,0.0959,0.91
5.70222,1.0579,0.1226,0.0197,1.07
5.702435,1.0579,0.1226,0.0197,1.07
5.717224,1.2103,0.0934,0.0666,1.22
5.734951,1.4408,0.0601,0.0705,1.44
5.7717,1.7417,-0.0629,-0.0466,1.74
5.804237,1.8043,0.0328,0.1565,1.81
5.804435,1.8043,0.0328,0.1565,1.81
5.816837,1.8278,0.107,0.2405,1.85
5.850364,1.5112,0.5487,0.4125,1.66
5.866996,1.2024,0.705,0.3812,1.45
5.886721,0.8684,0.576,0.0295,1.04
5.919755,0.6495,0.109,-0.1639,0.68
5.920012,0.6495,0.109,-0.1639,0.68
5.950319,0.6788,-0.0375,-0.0056,0.68
5.966366,0.7101,-0.059,0.1057,0.72
5.986696,0.7902,-0.0569,0.1076,0.8
6.016467,0.8468,0.068,0.0491,0.85
6.032148,0.8214,0.1344,-0.0251,0.83
6.049165,0.7589,0.1657,-0.0935,0.78
6.065718,0.6788,0.154,-0.1306,0.71
6.081881,0.5792,0.1383,-0.1619,0.62
6.102506,0.4932,0.0543,-0.158,0.52
6.131398,0.5674,-0.0101,-0.158,0.59
6.148245,0.7452,-0.0101,-0.1033,0.75
6.165004,0.9367,0.0094,-0.0466,0.94
6.181751,1.1165,0.0171,-0.0447,1.12
6.202299,1.3216,0.107,-0.0935,1.33
6.228089,1.2904,0.4001,-0.0251,1.35
6.247786,1.1927,0.5428,0.0412,1.31
6.264007,1.1868,0.4334,-0.1697,1.27
6.302544,1.2865,0.2555,-0.2752,1.34
6.323033,1.2825,0.2048,-0.0095,1.3
6.323278,1.2825,0.2048,-0.0095,1.3
6.345482,1.0813,0.2732,0.1546,1.13
6.36301,0.9856,0.3103,0.2582,1.07
6.411441,0.7862,0.1461,0.2718,0.84
6.411672,0.7862,0.1461,0.2718,0.84
6.428772,0.8468,0.0739,0.2386,0.88
6.44554,1.013,-0.0023,0.1604,1.03
6.479425,1.0324,-0.0531,-0.027,1.03
6.494372,0.9778,-0.0238,-0.0779,0.98
6.510874,0.9171,0.0621,-0.0114,0.92
6.527201,0.8527,0.1188,0.0959,0.87
6.543966,0.7198,0.1696,0.1038,0.75
6.582187,0.5166,0.1579,0.1272,0.55
6.606638,0.4951,0.0426,0.18,0.53
6.606867,0.4951,0.0426,0.18,0.53
6.628625,0.5322,-0.0003,0.1331,0.55
6.645293,0.6416,-0.0336,0.1252,0.65
6.682979,0.9719,-0.0785,0.092,0.98
6.701764,1.0226,-0.0706,0.0705,1.03
6.709984,1.0442,-0.0609,0.0724,1.05
6.72815,1.1419,-0.0453,0.0744,1.15
6.745333,1.222,-0.0296,0.092,1.23
6.781402,1.3979,-0.0062,0.0628,1.4
6.815838,1.6167,0.0367,0.1174,1.62
6.816029,1.6167,0.0367,0.1174,1.62
6.827335,1.5991,0.0836,0.1487,1.61
6.861502,1.3627,0.1774,0.1643,1.38
6.877146,1.3041,0.2087,0.2561,1.35
6.89732,1.2904,0.2634,0.3343,1.36
6.928751,1.2591,0.2634,0.2933,1.32
6.928939,1.2591,0.2634,0.2933,1.32
6.960724,0.8917,0.3728,-0.0075,0.97
6.976746,0.7003,0.3904,-0.0349,0.8
6.995955,0.6593,0.3122,0.0237,0.73
7.023497,0.7862,0.1246,0.0607,0.8
