accx,accy,accz
0.9523,-0.1,-0.4374
1.0794,-0.1,-0.4667
1.013,-0.0394,-0.543
0.8332,0.1403,-0.7461
0.8917,0.1109,-0.5625
0.837,0.1188,-0.5684
0.6574,0.15,-0.7012
0.5576,0.1149,-0.543
0.6397,0.068,-0.6699
0.7531,0.1051,-0.8106
0.8019,0.1598,-0.8185
0.7745,0.1363,-0.8067
0.6437,0.0191,-0.6972
0.585,0.0718,-0.9084
0.5948,0.0797,-0.9024
0.6612,0.0876,-0.7696
0.6944,0.1109,-0.8262
0.4423,0.0972,-0.713
0.4697,0.0504,-0.6171
0.5361,0.0211,-0.8497
0.4346,0.0113,-0.8008
0.5752,-0.0511,-0.8282
0.5068,-0.1351,-1.1506
0.6358,-0.2465,-1.5297
0.6358,-0.2465,-1.5297
0.7569,-0.3969,-1.2952
0.4951,-0.7018,-0.7696
0.4189,-0.606,-0.8321
0.5088,-0.5436,-0.7891
0.628,-0.7741,-0.8028
0.3975,-0.6393,-0.6993
0.3114,-0.5709,-0.7754
0.3623,-0.4087,-0.7286
0.6104,-0.3677,-0.836
0.5713,-0.4009,-0.8672
0.4502,-0.5983,-0.7774
0.2783,-0.647,-0.8341
0.4912,-0.5611,-0.8946
0.544,-0.4966,-0.9885
0.544,-0.4966,-0.9885
0.5557,-0.4634,-0.8927
0.4951,-0.4497,-0.8439
0.5068,-0.3482,-0.8868
0.503,-0.3911,-0.9845
0.503,-0.3911,-0.9845
0.1961,-0.7018,-1.1799
0.0418,-0.9754,-1.3069
-0.1379,-1.1063,-1.0822
0.034,-0.6197,-0.8732
-0.0519,-0.4595,-0.838
-0.1144,-0.4888,-0.8399
-0.2824,-0.6412,-0.7794
-0.3313,-0.5396,-0.8516
-0.261,-0.2504,-0.8185
-0.2551,-0.2602,-0.6816
-0.388,-0.2329,-0.6113
-0.5013,-0.2015,-0.6641
-0.3606,-0.2015,-0.8907
-0.2805,-0.1879,-0.9748
-0.2805,-0.1879,-0.9748
-0.3508,-0.266,-1.0002
-0.3098,-0.1938,-0.924
-0.3899,-0.3813,-0.7403
-0.3899,-0.3813,-0.7403
-0.3978,-0.3794,-0.9063
-0.3645,-0.3482,-0.7891
