accx,accy,accz
0.8586,-0.1703,0.0256
1.3373,-0.3071,-0.4745
0.8507,-0.0375,0.0588
1.0188,0.0289,0.051
1.183,0.0308,0.0901
1.2748,-0.2387,-0.0759
0.8566,-0.1,0.1233
0.671,-0.1019,0.0276
0.4229,-0.0375,-0.201
0.9445,0.0504,-0.0623
1.011,-0.0667,0.0588
0.8156,0.0406,-0.1111
0.628,0.1559,-0.0857
0.8917,0.2634,-0.029
0.9602,0.2106,-0.2479
0.9583,0.0113,-0.1423
0.9816,0.0231,0.0197
0.8586,-0.0473,-0.029
0.9504,-0.0667,-0.1502
1.0481,-0.0823,-0.115
1.0989,0.1149,-0.2361
0.8586,0.0231,0.1115
1.0833,0.0269,-0.0153
1.2005,-0.055,-0.0114
1.3178,-0.1,-0.1326
0.966,0.0171,-0.2361
0.673,0.2595,-0.1853
0.6299,0.3317,-0.1052
0.8977,0.3279,-0.2479
0.8664,0.2809,-0.2889
0.8977,0.238,-0.2635
1.2396,0.2536,-0.2401
1.0012,0.1149,-0.0798
0.7238,-0.055,-0.2674
0.6924,-0.1019,-0.2948
0.9523,0.0758,-0.1541
1.009,-0.0101,-0.0603
0.7765,-0.1176,-0.1814
0.9621,0.0739,-0.3241
0.8586,-0.0453,-0.2967
0.8996,0.1363,-0.1483
1.0168,0.2282,0.223
1.2923,-0.0863,-0.0564
1.0638,0.0641,-0.1071
1.0384,0.0699,-0.2068
0.8859,0.1676,-0.1326
1.177,-0.0921,-0.0779
1.1008,-0.0218,-0.0447
1.1556,0.0289,-0.0584
0.8781,0.15,-0.033
0.8781,0.15,-0.033
0.9426,0.0231,0.0686
1.0384,-0.0277,-0.0427
1.0305,0.0171,-0.0642
0.9426,0.0054,-0.1131
1.0676,-0.0023,-0.0544
1.1439,0.0367,0.0588
1.3412,-0.0336,0.0842
1.0579,-0.0101,-0.1853
0.9015,0.1696,0.4867
0.7277,0.0562,-0.1052
0.6886,0.3494,0.4613
0.9348,-0.0316,-0.203
1.052,0.3454,0.0276
1.0501,0.3767,0.0803
1.2005,0.2224,0.1546
1.013,-0.4341,-0.199
1.0481,-0.7076,-0.3358
0.9602,-0.3715,-0.3124
0.9015,-0.2583,-0.2107
0.8468,-0.0492,-0.027
0.9465,-0.0179,0.1976
1.0813,0.1344,0.0237
0.9914,0.4138,0.1683
1.009,0.3669,0.0119
1.0931,0.0562,0.0803
1.0247,-0.0492,-0.2126
0.9289,0.0094,-0.2186
0.837,-0.0082,-0.2205
0.9621,0.0543,-0.1345
1.0676,0.2907,0.0197
0.9075,0.4842,0.3539
1.0871,0.0895,0.0432
0.9133,-0.1019,-0.1795
0.9543,-0.1996,-0.1697
0.8488,0.0035,-0.0857
0.7492,0.066,-0.1462
0.8898,0.0953,-0.0975
1.0051,0.1032,0.0041
1.0598,0.1032,0.0021
1.1106,0.0582,0.0803
1.1966,0.0855,0.0412
1.0833,0.1305,-0.0505
0.9445,0.1598,-0.0759
0.9934,0.0054,-0.1639
0.9348,0.0895,-0.0817
1.0657,0.066,-0.0486
1.0266,0.0582,-0.072
0.9035,0.0601,0.0861
0.9543,0.1696,-0.0427
0.9543,0.1696,-0.0427
1.1087,0.2185,0.0901
0.9367,0.2946,-0.0232
1.0012,0.191,-0.0427
0.9934,0.2418,-0.0251
1.0207,0.2204,-0.0466
0.8723,0.2145,-0.031
0.9465,0.2497,0.0822
0.884,0.2536,-0.0857
0.9289,0.3161,-0.0935
0.9406,0.4099,0.0724
0.9406,0.4099,0.0724
1.1653,0.1676,-0.0134
0.9797,0.0718,-0.0114
0.8605,0.0231,-0.0349
0.9308,0.0485,-0.0584
1.1243,0.1617,-0.0681
1.0598,0.1032,0.0041
1.1751,0.195,0.0216
1.0363,0.1481,-0.0368
0.8097,0.3904,-0.0486
0.8097,0.3904,-0.0486
0.8917,0.2106,-0.1834
0.9895,0.1168,-0.0388
1.0384,0.1383,-0.158
1.0774,0.0485,0.0041
0.9836,0.1676,-0.1267
0.8917,0.3845,-0.1951
0.8234,0.1696,0.1233
1.0481,0.15,-0.029
1.0286,0.0387,-0.0701
0.9387,0.2478,-0.029
0.9914,0.2204,0.2424
0.884,0.1442,0.3441
0.7725,0.0816,0.0666
0.9719,0.3024,0.0647
0.9583,0.2692,0.1662
0.9993,0.066,0.2151
1.0676,-0.0238,0.0842
0.8723,-0.0238,-0.0954
0.8723,-0.0238,-0.0954
0.9269,-0.0394,-0.0584
0.9934,0.0426,-0.0661
1.1595,0.2262,0.0451
1.0012,0.0972,-0.0212
1.0012,0.0972,-0.0212
0.9836,-0.014,-0.0251
1.054,-0.0003,-0.0173
0.8547,0.0269,0.0432
0.8781,-0.0433,-0.027
0.9562,-0.0433,-0.0056
0.8351,-0.0218,-0.0544
1.0324,0.0094,-0.029
0.9797,0.0699,0.0334
0.8586,0.0778,0.0237
0.8625,0.0895,0.094
1.1712,0.0562,0.1018
1.2845,0.0054,0.0588
0.9523,0.0739,0.094
0.9289,0.0269,0.0021
0.9171,0.0718,-0.0915
0.843,0.15,-0.0016
1.0032,0.1032,0.0979
1.052,-0.0473,0.1662
1.1732,-0.2231,0.1839
1.1145,-0.3677,-0.0759
1.0403,-0.1156,0.0178
1.2962,0.0504,0.1115
1.0892,0.025,0.0744
0.585,0.0699,-0.0212
0.585,0.0699,-0.0212
0.6437,0.2204,0.389
0.9583,-0.0687,-0.1404
1.1165,0.0641,0.0373
0.9485,0.3552,0.0549
1.007,0.1871,0.2328
1.0012,0.113,0.0628
1.0931,-0.0531,0.1369
1.1751,-0.2895,-0.0544
1.1751,-0.2895,-0.0544
1.0403,-0.0101,0.0139
0.9641,0.1363,0.0568
1.0032,0.0855,0.0705
0.9856,0.0504,0.053
0.9993,0.0543,0.1018
0.9993,0.0543,0.1018
1.0363,0.0739,0.2738
1.2669,0.0054,0.0491
1.0598,0.154,0.2894
0.9485,0.1598,0.0764
0.7608,0.2204,0.047
0.9993,0.3103,0.0628
0.9876,0.236,0.0549
1.0247,0.1754,0.0451
1.0305,0.1266,0.0295
1.0286,0.0876,0.0432
0.9778,0.1012,-0.0056
0.9523,0.1403,0.0216
0.9562,0.1794,0.0178
