accx,accy,accz
0.796,0.2282,0.391
0.7648,0.2224,0.4223
0.798,0.2321,0.4184
0.9348,0.2672,0.4242
1.0226,0.2595,0.516
1.095,0.2106,0.4906
1.0324,0.2478,0.2933
0.9504,0.2595,0.1624
0.9367,0.2555,0.0451
1.0168,0.2555,0.2679
0.9465,0.2672,0.2855
0.9211,0.2614,0.2777
0.8664,0.2732,0.3148
1.0344,0.2282,0.3421
1.0813,0.3494,0.3265
0.9993,0.4021,0.3167
0.9699,0.406,0.35
0.9485,0.3708,0.3832
1.0501,0.3298,0.4515
0.8195,0.3494,0.4203
0.7413,0.3357,0.3637
0.8664,0.2536,0.3206
0.9094,0.2516,0.3129
0.8312,0.3122,0.2971
0.667,0.3005,0.3011
0.7198,0.2439,0.3773
1.0344,0.3317,0.2971
1.0286,0.3825,0.3089
1.0422,0.3787,0.3597
1.2298,0.408,0.518
1.0481,0.365,0.6821
1.0481,0.365,0.6821
1.0461,0.3357,0.5728
1.0032,0.2927,0.4086
0.966,0.2262,0.2894
0.884,0.1481,0.1409
1.0012,0.1481,0.0822
1.0305,0.1931,0.1331
1.009,0.2204,0.2366
1.007,0.2224,0.0568
1.013,0.1715,0.0256
1.013,0.1715,0.0256
0.8996,0.2849,0.0882
0.9152,0.2536,0.2659
0.9972,0.1891,0.2112
1.0481,0.1344,-0.0368
1.0481,0.1344,-0.0368
0.9953,0.1324,-0.072
0.8761,0.1813,-0.1443
1.0579,0.1754,-0.0857
1.0579,0.1754,-0.0857
1.0324,0.1833,-0.0544
0.9895,0.1696,-0.0447
0.9192,0.1833,-0.1736
0.9504,0.154,-0.2068
0.9504,0.154,-0.2068
0.8879,0.1891,-0.1502
1.0422,0.113,-0.1443
0.9836,0.1266,-0.1834
0.9269,0.1696,-0.371
0.9329,0.0876,-0.371
0.9329,0.0876,-0.371
0.966,0.0816,-0.2771
0.9934,0.0876,-0.156
1.0266,0.0934,-0.1208
1.0617,0.113,-0.2224
1.0617,0.113,-0.2224
0.8742,0.1266,-0.1502
0.8116,0.0836,-0.1462
0.8879,0.109,-0.199
1.0617,0.1266,-0.2381
1.0617,0.1266,-0.2381
1.0032,0.0426,-0.3847
0.9211,0.0582,-0.2967
0.9348,0.1676,-0.1795
0.8761,0.0895,-0.3944
0.8761,0.0895,-0.3944
0.8664,0.0406,-0.373
0.8781,0.0289,-0.3065
0.9348,0.0641,-0.2889
1.009,0.0758,-0.5566
1.009,0.0758,-0.5566
0.9523,0.0778,-0.4491
0.8898,0.0718,-0.3456
0.9758,0.0387,-0.3162
0.9699,0.0054,-0.3319
0.9133,0.0269,-0.3378
0.9113,0.0543,-0.3514
0.9543,0.0758,-0.3358
0.925,0.0758,-0.3124
0.9075,0.0601,-0.414
0.9152,0.068,-0.4354
0.9113,0.0739,-0.3924
0.9075,0.0778,-0.367
0.9269,0.0504,-0.3788
0.9211,0.0367,-0.3749
0.9308,0.0289,-0.3827
0.9329,0.0211,-0.4042
0.8917,0.0348,-0.4374
0.9289,0.0876,-0.3572
0.9289,0.0876,-0.3572
0.9289,0.0876,-0.3572
0.925,0.0914,-0.328
0.9094,0.0133,-0.373
0.9133,0.0211,-0.3866
0.9133,0.0211,-0.3866
0.9171,0.0523,-0.369
0.8977,0.0641,-0.3553
0.9348,0.0876,-0.4354
0.8547,0.0485,-0.4374
1.0032,0.0269,-0.4354
0.9895,0.068,-0.414
0.8957,0.1149,-0.3827
0.8039,0.1363,-0.3924
0.837,0.0816,-0.412
0.9387,0.0269,-0.3905
0.9699,-0.0042,-0.373
0.9387,-0.0023,-0.3807
0.9171,0.0113,-0.3944
0.8957,0.0348,-0.4061
0.8957,0.0348,-0.4061
0.9015,0.0406,-0.4179
0.9192,0.0426,-0.4159
0.9192,0.0485,-0.3963
0.9211,0.0504,-0.3807
0.9211,0.0504,-0.3807
0.9171,0.0485,-0.3866
0.9113,0.0464,-0.3905
0.9054,0.0387,-0.3944
0.9171,0.0328,-0.4061
0.925,0.0269,-0.3886
0.9211,0.0269,-0.3788
0.9171,0.0289,-0.373
0.9211,0.0387,-0.371
0.9152,0.0445,-0.3827
0.9171,0.0445,-0.3827
0.9094,0.0445,-0.3886
0.9152,0.0406,-0.3984
0.9171,0.0426,-0.4042
0.9192,0.0426,-0.4061
0.9192,0.0367,-0.3984
0.9192,0.0406,-0.3963
0.9152,0.0445,-0.3847
