accx,accy,accz
0.9816,0.2849,-0.0193
0.9699,0.2282,-0.0427
0.9465,0.2341,-0.072
0.9445,0.2282,-0.1169
0.9465,0.1852,-0.1365
0.8586,0.2672,-0.0486
1.0051,0.2595,-0.0994
0.9387,0.2595,-0.1462
0.8761,0.1461,-0.0681
0.7687,0.1168,0.1076
0.7823,0.1363,0.1585
0.8547,0.1344,0.1487
0.9054,0.2868,0.3069
0.9797,0.2164,0.2894
0.882,0.109,0.0764
0.8488,0.0543,0.047
1.0305,0.0464,0.0724
1.0207,0.0211,0.1565
0.9583,0.0133,0.2738
1.0931,0.1813,0.3734
1.1341,0.1989,0.1096
1.0931,0.1852,0.1272
0.8625,0.1442,0.1565
0.7706,0.191,0.1487
0.7471,0.2458,0.1995
0.7471,0.2399,0.1937
0.7785,0.1657,0.0354
0.7785,0.1657,0.0354
0.8332,0.1324,0.0822
0.8879,0.109,0.1683
1.0461,0.2243,0.1976
1.1145,0.195,0.0861
1.1145,0.195,0.0861
1.1458,0.1461,0.0588
1.0735,0.2301,0.1057
0.966,0.2732,0.0842
0.9504,0.2145,0.0276
0.9504,0.2145,0.0276
0.9856,0.2282,0.0666
1.1029,0.3454,0.135
1.1165,0.3494,0.1018
1.0501,0.3415,0.1174
1.0032,0.3122,0.135
0.9836,0.279,0.1096
1.0149,0.2751,0.0686
1.0501,0.2634,0.0549
1.0012,0.2849,0.1057
0.9797,0.3122,0.0901
0.9778,0.3103,0.0744
0.9856,0.2907,0.0666
0.9876,0.277,0.0237
1.013,0.2555,0.0158
1.0715,0.2262,0.0178
1.1224,0.2282,0.0002
1.1419,0.2458,-0.0173
1.1029,0.2966,-0.0212
1.0579,0.3161,-0.0349
1.054,0.2751,-0.0603
1.0286,0.2555,-0.0544
0.9953,0.2341,-0.0701
0.9934,0.2497,-0.0935
0.9504,0.2458,-0.0896
0.9485,0.2458,-0.0954
0.9426,0.2478,-0.0954
0.9426,0.2536,-0.1092
0.9972,0.238,-0.0994
1.0051,0.2341,-0.0877
1.0051,0.2341,-0.0877
0.9895,0.2224,-0.0994
0.9797,0.1969,-0.0935
0.9719,0.191,-0.0779
0.9758,0.1715,-0.0681
0.9758,0.1715,-0.0681
0.9797,0.1794,-0.0368
0.9426,0.1774,-0.0544
0.968,0.1852,-0.0994
1.0032,0.1852,-0.1013
1.013,0.1754,-0.0877
0.9719,0.1735,-0.1169
0.9719,0.1774,-0.1326
0.9641,0.1852,-0.156
0.9719,0.1617,-0.1834
0.9895,0.1481,-0.1932
0.9934,0.1403,-0.2147
0.968,0.1442,-0.203
