accx,accy,accz
0.9211,-0.1391,-0.1853
0.9523,-0.1156,-0.1814
1.0638,-0.1019,-0.2635
1.011,-0.1195,-0.2713
1.011,-0.1195,-0.2713
0.9133,-0.1254,-0.2615
0.9015,-0.1254,-0.2576
0.9739,-0.1039,-0.285
0.9778,-0.0883,-0.2576
0.9778,-0.0883,-0.2576
0.9523,-0.0921,-0.244
0.9621,-0.1019,-0.244
0.9621,-0.1058,-0.2557
0.9621,-0.1,-0.2459
0.9621,-0.1,-0.2459
0.9562,-0.1019,-0.2538
0.968,-0.1078,-0.2517
0.9621,-0.1176,-0.2517
0.9621,-0.1195,-0.2557
0.9621,-0.1137,-0.2538
0.9602,-0.1078,-0.2517
0.9583,-0.1078,-0.2517
0.9621,-0.1117,-0.2517
0.9543,-0.1214,-0.2615
0.9543,-0.1176,-0.2596
0.9445,-0.1137,-0.2459
0.9583,-0.1097,-0.2576
0.9504,-0.1097,-0.2635
0.9504,-0.1058,-0.2401
0.9504,-0.1097,-0.2459
0.9445,-0.1039,-0.2596
0.9504,-0.1351,-0.2615
0.9387,-0.1312,-0.2713
0.9426,-0.1312,-0.285
0.9485,-0.1332,-0.2771
0.9445,-0.1293,-0.2713
0.9465,-0.1214,-0.2811
0.9485,-0.1156,-0.2889
0.9504,-0.0941,-0.2694
0.9621,-0.0804,-0.2498
0.9797,-0.0667,-0.2381
0.9816,-0.0492,-0.2322
0.9797,-0.0375,-0.2361
0.9895,-0.0336,-0.242
0.9856,-0.0355,-0.2381
0.9758,-0.0394,-0.2401
0.9778,-0.0569,-0.2381
0.968,-0.0785,-0.244
0.9758,-0.0823,-0.2557
0.968,-0.0883,-0.2498
0.9602,-0.0883,-0.2576
0.9543,-0.1078,-0.2557
0.9485,-0.1254,-0.2635
0.9543,-0.1195,-0.2654
0.9543,-0.1176,-0.2538
0.9543,-0.1078,-0.2576
0.9543,-0.1137,-0.2576
0.9523,-0.1195,-0.2538
0.9523,-0.1195,-0.2538
0.9543,-0.1195,-0.2635
0.9543,-0.1176,-0.2635
0.9485,-0.1195,-0.2752
0.9523,-0.1176,-0.2752
0.9504,-0.1176,-0.2674
0.9504,-0.1176,-0.2674
0.9523,-0.1156,-0.2694
0.9562,-0.1117,-0.2713
0.9562,-0.1156,-0.2733
0.9543,-0.1117,-0.2811
0.9543,-0.1117,-0.2811
0.9426,-0.1137,-0.2674
0.9465,-0.1137,-0.2811
0.9485,-0.1254,-0.2811
0.9543,-0.1117,-0.2792
0.9465,-0.1137,-0.2792
0.9485,-0.1195,-0.2771
0.9602,-0.1137,-0.2733
0.9562,-0.1176,-0.2752
0.9641,-0.1019,-0.2517
0.9641,-0.1019,-0.2517
0.968,-0.0921,-0.242
0.9621,-0.0941,-0.2479
0.9641,-0.0902,-0.2498
0.966,-0.1039,-0.2401
0.966,-0.1039,-0.2401
0.966,-0.1058,-0.2401
0.9621,-0.1019,-0.2459
0.9621,-0.1078,-0.2479
0.968,-0.1058,-0.2596
0.966,-0.1097,-0.2517
0.9621,-0.1117,-0.2517
0.9543,-0.1039,-0.2557
0.9641,-0.1058,-0.2557
0.9641,-0.1058,-0.2557
0.9719,-0.1117,-0.2557
0.966,-0.1117,-0.2517
0.966,-0.1078,-0.2459
0.9602,-0.0941,-0.2479
0.9621,-0.1,-0.2498
0.9621,-0.1,-0.2498
0.9621,-0.1,-0.2517
0.9602,-0.1019,-0.2498
0.968,-0.1078,-0.2517
0.9621,-0.096,-0.2557
0.9621,-0.1058,-0.2498
0.9485,-0.1058,-0.2635
0.9562,-0.1117,-0.2674
0.9621,-0.1097,-0.2615
0.9562,-0.1,-0.2615
0.9621,-0.1058,-0.2576
0.9543,-0.1019,-0.2576
0.9602,-0.1078,-0.2615
0.9523,-0.1,-0.2635
0.9523,-0.1,-0.2635
0.9621,-0.1,-0.2596
0.9621,-0.1078,-0.2615
0.9583,-0.1019,-0.2635
0.9583,-0.1019,-0.2635
0.9543,-0.1039,-0.2596
0.9543,-0.1039,-0.2635
0.9621,-0.0981,-0.2615
0.966,-0.1039,-0.2654
0.9562,-0.1058,-0.2615
0.9543,-0.1019,-0.2654
0.9602,-0.0941,-0.2654
0.9602,-0.1019,-0.2733
0.9602,-0.1019,-0.2733
0.9583,-0.1058,-0.2713
0.9562,-0.1058,-0.2733
0.9562,-0.1117,-0.2674
0.9562,-0.1058,-0.2674
0.9583,-0.0981,-0.2635
0.9583,-0.0981,-0.2635
0.9523,-0.096,-0.2596
0.9543,-0.1,-0.2615
0.9602,-0.1078,-0.2752
0.9504,-0.1097,-0.2733
0.9504,-0.1097,-0.2733
0.9504,-0.1117,-0.2752
0.9485,-0.1137,-0.2752
0.9445,-0.1176,-0.2831
0.9523,-0.1176,-0.2771
0.9583,-0.1039,-0.2733
0.9583,-0.1039,-0.2733
0.9504,-0.1019,-0.2635
0.9523,-0.1078,-0.2694
0.9543,-0.1117,-0.2771
0.9562,-0.1137,-0.2752
0.9562,-0.1137,-0.2752
0.9523,-0.1058,-0.2733
0.9465,-0.1058,-0.2733
0.9583,-0.1176,-0.2771
0.9485,-0.1195,-0.2831
0.9485,-0.1195,-0.2831
0.9387,-0.1078,-0.2811
0.9445,-0.1097,-0.2771
0.9602,-0.1137,-0.2771
0.968,-0.1137,-0.2752
0.9523,-0.1039,-0.2792
0.9523,-0.1039,-0.2752
0.9485,-0.1058,-0.2674
0.9523,-0.1019,-0.2752
0.9641,-0.1078,-0.2713
0.9602,-0.1058,-0.2713
0.9621,-0.1078,-0.2635
0.9562,-0.1078,-0.2615
0.9485,-0.1117,-0.2752
0.9504,-0.1078,-0.2831
0.9485,-0.1078,-0.2831
0.9543,-0.1058,-0.2792
0.9523,-0.1078,-0.2771
0.9543,-0.1117,-0.2752
0.9562,-0.1117,-0.2831
0.9523,-0.1097,-0.2792
0.9543,-0.1019,-0.2831
0.9523,-0.1097,-0.2869
0.9504,-0.1214,-0.2811
0.9485,-0.1214,-0.285
0.9485,-0.1214,-0.285
0.9504,-0.1195,-0.2869
0.9485,-0.1078,-0.2733
0.9523,-0.1117,-0.2713
0.9583,-0.1117,-0.2752
0.9583,-0.1117,-0.2752
0.9504,-0.1058,-0.285
0.9504,-0.1156,-0.2771
0.9504,-0.1137,-0.2831
0.9523,-0.1137,-0.2869
0.9445,-0.1176,-0.2889
0.9465,-0.1195,-0.2869
0.9485,-0.1156,-0.285
0.9523,-0.1137,-0.2869
0.9465,-0.1117,-0.2831
0.9485,-0.1117,-0.285
0.9445,-0.1176,-0.2811
0.9485,-0.1195,-0.2889
0.9562,-0.1195,-0.285
0.9562,-0.1195,-0.285
