accx,accy,accz
0.9876,0.1324,-0.1521
0.9699,0.1422,-0.1423
0.9621,0.1657,-0.1071
0.9836,0.1266,-0.1541
0.9836,0.1266,-0.1541
0.9485,0.1617,-0.1502
0.9699,0.1403,-0.1385
0.9719,0.2301,-0.1443
0.9836,0.1891,-0.1267
0.9836,0.1891,-0.1267
0.9934,0.1774,-0.1208
0.9914,0.1754,-0.115
0.968,0.2145,-0.1502
0.9719,0.1891,-0.1639
0.9719,0.1891,-0.1639
0.9094,0.2497,-0.1658
0.8898,0.1735,-0.1071
1.0559,0.025,-0.2107
1.095,0.0015,-0.2284
1.0833,0.0152,-0.2244
0.9699,0.0523,-0.1834
0.9543,0.0601,-0.197
0.9719,0.0718,-0.199
0.9895,0.0992,-0.1853
0.9972,0.1032,-0.1776
0.9972,0.1109,-0.158
0.9895,0.1188,-0.158
0.9778,0.1168,-0.1619
0.9719,0.113,-0.1658
0.9797,0.113,-0.1658
0.9778,0.1012,-0.1658
0.9836,0.0855,-0.1814
0.9778,0.0739,-0.1776
0.9719,0.0895,-0.1716
0.9739,0.0972,-0.1756
0.9797,0.1051,-0.1599
0.9895,0.1324,-0.1483
0.9816,0.1383,-0.156
0.9719,0.1286,-0.1716
0.9699,0.1149,-0.1814
0.968,0.1149,-0.1776
0.9719,0.1051,-0.1912
0.9816,0.0855,-0.1951
0.9778,0.0797,-0.203
0.9778,0.0836,-0.2068
0.9699,0.0816,-0.2107
0.9699,0.0778,-0.2049
0.9778,0.0601,-0.1932
0.9953,0.0855,-0.1541
0.9816,0.1012,-0.1678
0.9739,0.0992,-0.1599
0.9797,0.0836,-0.1639
0.9972,0.0739,-0.1443
0.9914,0.0797,-0.1326
0.9758,0.1109,-0.1267
0.9797,0.1149,-0.1385
0.9953,0.0992,-0.1423
0.9972,0.0855,-0.1208
0.9993,0.0895,-0.1208
0.9836,0.1149,-0.1208
0.9758,0.1109,-0.1345
0.9836,0.0797,-0.1208
0.9504,0.0133,-0.1736
0.9504,0.0133,-0.1736
0.9641,0.0054,-0.2186
0.9972,-0.0003,-0.2557
0.9797,0.0152,-0.2792
1.013,0.1383,-0.201
1.011,0.152,-0.1834
0.9543,0.1637,-0.1423
0.9739,0.1481,-0.1619
0.9934,0.1286,-0.156
0.9972,0.1188,-0.1345
0.9953,0.109,-0.1462
0.9934,0.0934,-0.1541
0.9719,0.0934,-0.1483
0.9719,0.0816,-0.1639
0.9758,0.0582,-0.1697
0.9797,0.0543,-0.1756
0.9778,0.0523,-0.1776
0.9778,0.0601,-0.1834
0.9797,0.0601,-0.1893
0.9836,0.0739,-0.1834
0.9778,0.0718,-0.1853
0.9778,0.0739,-0.1912
0.9816,0.0816,-0.1853
0.9836,0.0836,-0.1814
0.9816,0.0876,-0.1716
0.9836,0.0895,-0.1678
0.9836,0.0934,-0.1639
0.9914,0.0934,-0.1619
0.9934,0.0836,-0.1678
0.9816,0.0876,-0.1697
0.9778,0.0855,-0.1697
0.9758,0.0758,-0.1756
0.9797,0.0739,-0.1776
0.9797,0.0718,-0.1736
0.9836,0.0758,-0.1716
0.9816,0.0855,-0.1736
0.9797,0.0816,-0.1795
0.9758,0.0836,-0.1736
0.9778,0.0836,-0.1795
0.9797,0.0855,-0.1658
0.9856,0.0934,-0.1619
0.9836,0.107,-0.1541
0.9816,0.1109,-0.1599
0.9797,0.0816,-0.1736
0.9797,0.0816,-0.1736
0.9816,0.0797,-0.1716
0.9836,0.0816,-0.1697
0.9816,0.0816,-0.1756
0.9719,0.0816,-0.1872
0.9758,0.0836,-0.1834
0.9816,0.0816,-0.1853
0.9856,0.0778,-0.1736
0.9797,0.0739,-0.1834
0.9797,0.0876,-0.1795
0.9758,0.0836,-0.1736
0.9739,0.0816,-0.1716
0.9778,0.0895,-0.1834
0.9856,0.0855,-0.1814
0.9778,0.0816,-0.1834
0.9797,0.0797,-0.1853
0.9797,0.0797,-0.1853
0.9778,0.0816,-0.1853
0.9836,0.0739,-0.1814
0.9797,0.0758,-0.1814
0.9797,0.0778,-0.1814
0.9797,0.0778,-0.1814
0.9797,0.0855,-0.1776
0.9816,0.0876,-0.1716
0.9797,0.0934,-0.1736
0.9836,0.0855,-0.1756
0.9836,0.0855,-0.1756
0.9797,0.0816,-0.1776
0.9797,0.0778,-0.1853
0.9719,0.0718,-0.1834
0.9836,0.0778,-0.1776
0.9836,0.0778,-0.1776
0.9797,0.0778,-0.1776
0.9758,0.0718,-0.1834
0.9816,0.0797,-0.1776
0.9778,0.0797,-0.1678
0.9816,0.0876,-0.1736
0.9778,0.0816,-0.1814
0.9816,0.0836,-0.1736
0.9758,0.0855,-0.1716
0.9856,0.0816,-0.1756
0.9856,0.0797,-0.1697
0.9856,0.0836,-0.1678
0.9778,0.0797,-0.1834
0.9739,0.0778,-0.1736
0.9739,0.0778,-0.1736
0.9816,0.0778,-0.1776
0.9816,0.0739,-0.1776
0.9797,0.0778,-0.1776
0.9816,0.0778,-0.1756
0.9778,0.0778,-0.1756
0.9758,0.0739,-0.1756
0.9816,0.0758,-0.1756
0.9816,0.0758,-0.1756
0.9797,0.0816,-0.1736
0.9816,0.0778,-0.1736
0.9778,0.0758,-0.1776
0.9836,0.0778,-0.1736
0.9816,0.0778,-0.1716
0.9816,0.0778,-0.1716
0.9778,0.0797,-0.1716
0.9778,0.0816,-0.1736
0.9836,0.0816,-0.1716
0.9816,0.0836,-0.1639
0.9816,0.0836,-0.1639
0.9816,0.0797,-0.1697
0.9816,0.0797,-0.1697
0.9856,0.0758,-0.1736
0.9876,0.0699,-0.1716
0.9739,0.0816,-0.1658
0.9856,0.0739,-0.1678
0.9778,0.0739,-0.1756
0.9758,0.0778,-0.1736
0.9816,0.0718,-0.1756
0.9816,0.0816,-0.1678
0.9856,0.0797,-0.1716
0.9876,0.0758,-0.1678
0.9836,0.0778,-0.1716
0.9778,0.0797,-0.1736
0.9816,0.0797,-0.1716
0.9856,0.0797,-0.1697
0.9876,0.0797,-0.1697
0.9816,0.0816,-0.1697
0.9778,0.0778,-0.1736
0.9797,0.0758,-0.1736
0.9758,0.0758,-0.1795
0.9836,0.0739,-0.1756
0.9797,0.0758,-0.1736
0.9797,0.0836,-0.1716
0.9816,0.0797,-0.1756
0.9836,0.0816,-0.1795
0.9758,0.0778,-0.1716
0.9778,0.0778,-0.1716
0.9856,0.0778,-0.1736
0.9836,0.0778,-0.1834
0.9836,0.0778,-0.1834
0.9816,0.0797,-0.1776
0.9816,0.0797,-0.1716
0.9778,0.0855,-0.1795
0.9816,0.0797,-0.1795
0.9816,0.0797,-0.1795
0.9797,0.0855,-0.1756
0.9797,0.0778,-0.1716
0.9778,0.0816,-0.1756
0.9797,0.0758,-0.1756
0.9778,0.0797,-0.1697
0.9797,0.0758,-0.1678
0.9816,0.0758,-0.1776
0.9816,0.0718,-0.1776
0.9836,0.0758,-0.1716
0.9797,0.0797,-0.1756
0.9797,0.0778,-0.1776
0.9816,0.0778,-0.1756
0.9758,0.0797,-0.1814
0.9758,0.0797,-0.1814
0.9816,0.0816,-0.1776
0.9856,0.0778,-0.1736
0.9778,0.0758,-0.1795
