accx,accy,accz
1.1732,0.066,-0.2263
1.1008,-0.0667,-0.2068
1.1008,-0.0667,-0.2068
1.1008,-0.0667,-0.2068
1.0344,0.3513,-0.1776
1.1556,0.361,-0.1951
1.2161,0.0348,-0.371
1.2161,0.0348,-0.371
1.2142,0.0348,-0.3807
1.1907,-0.1,-0.3807
1.0032,-0.1312,-0.3827
0.7061,-0.1449,-0.3143
0.7061,-0.1449,-0.3143
0.7101,-0.0667,-0.2733
0.7433,0.0504,-0.2908
0.7433,0.1286,-0.2792
0.6984,0.109,-0.3085
0.671,0.0934,-0.3124
0.6104,0.0621,-0.3514
0.6378,0.0231,-0.41
0.6183,-0.0609,-0.4725
0.6495,-0.0863,-0.5781
0.6495,-0.0863,-0.5781
0.714,-0.059,-0.5253
0.8644,-0.0218,-0.4413
1.1927,0.068,-0.4999
1.1008,-0.0023,-0.7969
1.1008,-0.0023,-0.7969
0.6749,-0.1371,-1.0568
0.8664,-0.1235,-0.6348
1.5913,0.1657,-0.5058
1.0715,0.5428,-0.2576
0.6358,0.1344,-0.2771
0.5752,-0.0863,0.0139
0.8507,-0.0238,-0.1071
1.4682,0.1246,-0.285
1.2279,0.1461,-0.3593
0.9075,0.0231,-0.3397
0.7883,0.0054,-0.2889
0.8273,0.0543,-0.2147
0.8019,0.1188,-0.2205
0.8019,0.0485,-0.2752
0.8156,-0.0355,-0.2361
0.8195,-0.0648,-0.2224
0.8703,-0.1273,-0.285
0.8742,-0.1859,-0.3593
0.8684,-0.1957,-0.3104
0.8293,-0.1528,-0.3006
0.8234,-0.1273,-0.3006
0.8312,-0.096,-0.2908
0.9699,-0.0257,-0.2674
0.9699,-0.0257,-0.2674
0.9836,-0.0531,-0.2538
1.0286,-0.0746,-0.2205
1.0188,-0.2015,-0.2517
1.0188,-0.2015,-0.2517
0.9758,-0.0413,-0.3045
0.9895,0.0171,-0.3182
1.222,-0.0023,-0.1912
1.2474,-0.1078,-0.2831
1.2103,0.2888,-0.2596
1.2103,0.2888,-0.2596
1.2005,0.4236,-0.1443
1.2454,0.3377,-0.1736
1.1165,0.2067,-0.2635
1.2161,0.0797,-0.3065
1.2415,0.0485,-0.328
1.1243,0.0191,-0.3612
0.798,-0.0531,-0.2752
0.7394,-0.0238,-0.1678
0.7315,-0.0062,-0.1776
0.6847,0.0269,-0.2107
0.6378,0.0445,-0.2342
0.6574,0.0464,-0.3378
0.6768,0.0406,-0.373
0.667,0.0328,-0.4022
0.6632,0.0035,-0.4257
0.6476,-0.0629,-0.4531
0.6241,-0.0492,-0.5547
0.6632,-0.0023,-0.6152
0.798,0.0073,-0.5547
1.0207,0.0289,-0.5351
1.4271,0.0543,-0.4999
1.1653,0.1149,-0.6504
0.7667,-0.0159,-0.7891
0.5244,-0.0921,-1.0275
1.4702,0.0211,-0.3397
1.4506,0.4295,-0.3104
1.1302,0.5721,-0.3299
0.7862,0.0308,-0.2538
0.6299,-0.1508,-0.029
1.0871,-0.0531,-0.158
1.2591,0.0641,-0.2342
1.22,0.1324,-0.2654
1.0051,0.1207,-0.2224
0.9133,0.1324,-0.2147
0.9133,0.1324,-0.2147
0.9075,0.1149,-0.2576
0.8703,0.0523,-0.2166
0.8605,-0.0218,-0.2049
0.8742,-0.0492,-0.4413
0.8527,-0.1156,-0.2908
0.8078,-0.1273,-0.3241
0.8175,-0.1508,-0.3339
0.8644,-0.143,-0.3299
0.8625,-0.0863,-0.3339
0.8625,-0.0863,-0.3339
0.8703,-0.0902,-0.3358
0.9075,-0.1235,-0.2869
0.9211,-0.0804,-0.2752
0.9739,-0.1371,-0.2479
0.9739,-0.1371,-0.2479
0.9445,-0.1293,-0.2479
0.9778,-0.1058,-0.2147
1.1204,0.1109,-0.2771
1.3178,-0.096,-0.1013
1.3197,-0.1332,-0.1111
1.2806,-0.1273,-0.2284
1.136,0.3279,-0.2205
1.2669,0.3748,-0.2654
1.2669,0.3748,-0.2654
1.2571,0.279,-0.2694
1.1693,-0.0199,-0.2713
1.1243,-0.0706,-0.3339
0.9856,-0.0727,-0.3397
0.8644,-0.1,-0.3378
0.8293,-0.0355,-0.328
0.798,0.0387,-0.2948
0.7511,0.0972,-0.2831
0.671,0.1032,-0.285
0.6886,0.0073,-0.2831
0.6807,0.0113,-0.3339
0.6574,0.0231,-0.3534
0.6612,0.0426,-0.373
0.6574,0.0211,-0.3905
0.5733,-0.0238,-0.4471
0.5889,-0.0238,-0.5039
0.6612,-0.014,-0.543
0.7921,-0.0179,-0.4687
1.0305,-0.0023,-0.4589
1.39,-0.0023,-0.4843
1.2298,0.0601,-0.7657
0.9054,-0.0336,-0.7989
0.7589,-0.0609,-1.0158
1.2631,-0.1273,-0.6856
0.8781,0.3631,-0.3495
0.7745,0.3494,-0.3905
0.5361,0.0543,-0.4179
0.628,-0.0375,-0.0661
0.9621,0.0739,-0.0173
1.3236,0.1305,-0.0994
1.2005,0.1579,-0.2752
