accx,accy,accz
1.0344,0.277,-0.1404
1.0344,0.277,-0.1404
1.2787,0.2399,-0.1483
1.3275,0.2458,-0.1932
1.0051,0.2809,-0.1404
0.8312,0.2868,-0.1795
0.7921,0.2966,-0.1814
0.7862,0.3005,-0.1736
0.8957,0.2927,-0.1423
0.9543,0.2946,-0.1795
0.9778,0.2829,-0.1932
0.9836,0.2712,-0.1893
1.009,0.2067,-0.2831
1.0207,0.1833,-0.3495
1.0305,0.1657,-0.3397
0.9387,0.1637,-0.3456
0.9485,0.1403,-0.3749
0.9426,0.1149,-0.3924
0.9465,0.1109,-0.3944
0.9583,0.1286,-0.3963
0.9602,0.1481,-0.3847
0.9445,0.1598,-0.3807
0.8507,0.1735,-0.3651
0.8195,0.1989,-0.3514
0.839,0.2087,-0.3397
0.8586,0.2087,-0.3221
0.8488,0.195,-0.3436
0.8449,0.1637,-0.3456
0.8644,0.1559,-0.3436
0.8879,0.1383,-0.3397
0.8898,0.1188,-0.3456
0.9523,0.0855,-0.3202
1.0032,0.1286,-0.3085
1.0188,0.1813,-0.3104
1.0188,0.1852,-0.3339
0.9876,0.1579,-0.326
0.8449,0.0953,-0.3104
0.8351,0.0718,-0.3085
0.8761,0.0816,-0.3182
0.966,0.0718,-0.3085
0.968,0.0601,-0.2811
0.9504,0.0836,-0.2381
0.9504,0.1109,-0.2147
0.9739,0.1305,-0.2205
1.0286,0.1696,-0.2322
0.9876,0.1442,-0.2205
0.9562,0.1012,-0.2126
0.9426,0.0445,-0.2107
0.9797,0.0485,-0.2303
0.9739,0.0739,-0.2166
0.9739,0.0739,-0.2166
0.9699,0.0797,-0.2166
0.9876,0.0739,-0.2126
0.9739,0.0523,-0.2303
0.9816,0.0464,-0.2401
0.9856,0.0504,-0.2459
0.9797,0.0504,-0.244
0.9465,0.0641,-0.2147
0.9387,0.0543,-0.2205
0.9719,0.0308,-0.2322
0.9836,0.0289,-0.2322
1.0051,0.0231,-0.2303
1.0266,0.0504,-0.197
0.9953,0.0758,-0.197
0.9953,0.0836,-0.203
0.9797,0.0601,-0.2381
0.9641,-0.0023,-0.2771
0.9914,-0.0433,-0.3202
1.0442,-0.0003,-0.369
1.1419,0.0739,-0.371
1.1321,0.1676,-0.1776
1.1321,0.1676,-0.1776
1.0384,0.3103,-0.0623
0.8996,0.3591,-0.0349
0.837,0.2185,-0.1814
0.8547,0.107,-0.285
0.9035,0.0406,-0.3241
0.9485,0.0739,-0.3006
0.9094,0.1579,-0.2576
0.8723,0.1149,-0.2889
0.9367,0.0621,-0.3085
0.9993,0.0426,-0.3378
1.0207,0.0445,-0.3436
0.9719,0.0543,-0.3319
0.882,0.0739,-0.3182
0.8449,0.0876,-0.3241
0.837,0.0992,-0.326
0.8742,0.1109,-0.3162
0.9269,0.1032,-0.3104
0.9445,0.0992,-0.3104
0.925,0.1012,-0.3241
0.8957,0.1109,-0.3339
0.8742,0.1032,-0.3319
0.8507,0.0972,-0.3202
0.8332,0.0778,-0.326
0.839,0.0562,-0.3495
0.8527,0.0543,-0.3436
0.8507,0.0718,-0.3534
0.9621,0.1226,-0.3436
0.9308,0.1012,-0.3182
0.9308,0.1012,-0.3182
0.9015,0.0953,-0.3104
0.9171,0.1188,-0.4042
1.0188,-0.0804,-0.5214
1.0188,-0.0804,-0.5214
1.0461,-0.1742,-0.5449
1.1185,-0.266,-0.4921
1.56,0.2106,-0.4374
1.5874,0.4842,-0.3612
1.1204,0.3708,-0.1756
0.8468,0.2946,-0.1951
0.4776,-0.0101,-0.2166
0.5361,-0.0765,-0.1853
0.7941,-0.0101,-0.1853
1.0442,0.1032,-0.1502
1.1282,0.191,-0.1423
1.0833,0.2576,-0.0857
0.968,0.1774,-0.1658
0.8684,0.0718,-0.2479
0.8351,0.0171,-0.2576
0.8351,0.0171,-0.2576
0.9171,0.0641,-0.2303
0.9562,0.0739,-0.2263
0.9523,0.0289,-0.2401
0.9348,-0.0277,-0.2869
0.925,-0.0257,-0.3026
0.9289,-0.0042,-0.3124
0.9152,0.0133,-0.2987
0.9289,0.0035,-0.2948
0.9269,-0.0062,-0.3182
0.9192,-0.0218,-0.3162
0.9231,-0.0394,-0.3182
0.9192,-0.0727,-0.3085
0.9113,-0.0921,-0.3006
0.9329,-0.0902,-0.285
0.9797,-0.0629,-0.2967
0.9895,-0.0316,-0.3221
0.9876,-0.0257,-0.3397
0.9972,-0.0277,-0.3553
1.0461,0.0426,-0.3553
1.0715,0.0895,-0.3299
1.1008,0.1774,-0.3456
1.1008,-0.0062,-0.4725
1.0501,-0.0667,-0.0975
1.0501,-0.0667,-0.0975
1.0579,0.068,0.1292
0.9739,0.578,-0.074
0.9329,0.2145,-0.3026
0.9329,0.2145,-0.3026
0.9015,-0.0531,-0.2831
0.8742,-0.2015,-0.3339
0.966,-0.0062,-0.4315
1.0833,0.1442,-0.2303
1.0735,0.1481,-0.2263
1.013,0.1461,-0.2322
0.8644,0.0523,-0.2811
0.841,0.0406,-0.285
0.837,0.068,-0.2889
0.8625,0.0992,-0.285
0.9152,0.107,-0.2733
0.9035,0.0953,-0.2733
0.884,0.0758,-0.2752
0.8723,0.0426,-0.2811
0.8703,0.0054,-0.3085
0.8664,-0.0316,-0.3534
0.8684,-0.0296,-0.3632
0.8781,-0.0433,-0.3768
0.8742,-0.0413,-0.3944
0.882,-0.0082,-0.4198
0.8644,-0.0062,-0.3807
0.8644,-0.0062,-0.3807
0.9329,0.025,-0.2869
0.9953,0.1461,-0.2479
0.9797,0.1168,-0.328
1.1165,-0.2485,-0.4941
1.2317,-0.2446,-0.4413
1.353,-0.0199,-0.373
1.478,0.2341,-0.3632
1.3842,0.2751,-0.2596
0.9269,0.1754,-0.2459
0.5284,0.0699,-0.2342
0.4248,-0.0336,-0.2126
0.7902,0.0191,-0.1404
1.1732,0.1735,-0.1052
1.1732,0.1735,-0.1052
1.222,0.1696,-0.1071
0.9836,0.0504,-0.2224
0.9836,0.0504,-0.2224
0.7765,0.0328,-0.2752
0.7706,0.0445,-0.2479
0.8136,0.0523,-0.2068
0.9953,-0.0042,-0.2205
0.9934,-0.0375,-0.2401
