accx,accy,accz
0.714,-0.0941,-0.3905
0.7355,-0.0863,-0.4159
0.8039,-0.0804,-0.4159
0.884,-0.0394,-0.3827
0.8781,-0.0823,-0.369
0.841,-0.0804,-0.3593
0.843,-0.0511,-0.3534
0.9075,0.0035,-0.3397
0.9543,-0.0355,-0.3827
0.9133,-0.0785,-0.412
0.837,-0.0765,-0.455
0.839,-0.0433,-0.4003
0.843,-0.2015,-0.4823
0.8801,-0.1899,-0.41
1.0501,-0.0336,-0.4061
1.4115,0.1852,-0.3162
1.562,0.277,-0.0877
1.0833,-0.0804,-0.1658
0.9231,-0.2192,-0.2068
0.8703,-0.2914,-0.2811
1.0012,-0.3051,-0.3514
1.1693,-0.2934,-0.3768
1.2357,-0.2641,-0.3514
1.1672,-0.2036,-0.2342
1.0598,-0.1645,-0.2322
0.8761,-0.1176,-0.1776
0.8097,-0.1019,-0.1483
0.7921,-0.0531,-0.2126
0.925,-0.0453,-0.2596
1.0617,-0.0727,-0.1932
1.0403,-0.0941,-0.1483
0.9192,-0.1859,-0.1795
0.8527,-0.1918,-0.1853
0.8019,-0.1782,-0.2284
0.8527,-0.1468,-0.244
0.9348,-0.1488,-0.2205
0.9152,-0.2133,-0.2967
0.7765,-0.1996,-0.2771
0.7355,-0.1762,-0.203
0.7296,-0.1508,-0.1639
0.8468,-0.0746,-0.242
0.9094,-0.0706,-0.3162
0.8332,-0.0727,-0.2342
0.8644,-0.0727,-0.2733
0.8664,-0.0981,-0.2733
0.8136,-0.1351,-0.2694
0.7492,-0.1488,-0.3045
0.7394,-0.182,-0.3339
0.837,-0.0687,-0.2908
0.9856,0.0073,-0.3534
1.3412,0.0582,-0.5156
1.3412,0.0582,-0.5156
1.5132,0.0797,-0.5527
1.2806,-0.0413,-0.6133
1.2767,0.0914,-0.6328
1.5014,0.1207,-0.5859
1.4135,0.0972,-0.5723
0.9719,0.0855,-0.5293
0.7804,-0.0355,-0.4061
0.8214,-0.0179,-0.3807
0.8586,-0.0082,-0.3905
0.882,0.025,-0.4003
0.8039,-0.012,-0.371
0.7257,-0.0159,-0.3436
0.6944,-0.0218,-0.328
0.6651,-0.0277,-0.3241
0.6124,-0.0844,-0.3807
0.5831,-0.1039,-0.4374
0.5713,-0.0844,-0.4491
0.6221,-0.0316,-0.41
0.6514,0.0035,-0.412
0.6964,-0.0062,-0.3553
0.673,0.0035,-0.3241
0.6866,0.0035,-0.2869
0.8449,-0.0082,-0.2576
0.8605,0.0015,-0.3085
0.7823,-0.141,-0.371
0.7745,-0.1801,-0.3886
0.843,-0.1371,-0.4335
0.9758,-0.1488,-0.4941
1.1672,-0.0706,-0.5136
1.4311,0.1207,-0.4804
1.734,0.2321,-0.3984
1.4623,0.2712,-0.1736
1.2669,0.0094,-0.285
1.6695,-0.3305,-0.2361
0.9367,-0.2974,-0.4471
0.6221,-0.3736,-0.4531
