accx,accy,accz
0.9719,-0.0316,-0.2576
0.9719,-0.0316,-0.2576
0.9758,0.0035,-0.2186
1.0012,0.0758,-0.1853
0.9856,0.109,-0.1599
0.9075,0.107,-0.0505
0.9816,0.025,-0.0975
1.1106,-0.0492,-0.1326
1.222,-0.0727,-0.1365
1.2474,-0.0336,-0.1229
0.8625,0.1383,-0.2713
0.7471,0.1012,-0.3221
0.7413,0.0073,-0.3436
0.8488,-0.0902,-0.3319
1.0403,-0.0765,-0.3104
1.1048,0.1266,-0.2733
1.0149,0.1735,-0.199
0.9602,0.1715,-0.1756
0.884,0.1461,-0.1814
0.8566,0.066,-0.2147
0.9192,0.066,-0.2361
0.9211,0.0739,-0.2342
0.9348,0.0836,-0.244
0.9133,0.0758,-0.2517
0.9211,0.0601,-0.2538
0.9192,0.0504,-0.2694
0.8977,0.0445,-0.2752
0.8507,0.0015,-0.2929
0.8703,0.0171,-0.2908
0.9171,0.0445,-0.2733
0.9406,0.0797,-0.2811
0.9543,0.068,-0.2635
0.9465,0.0348,-0.2479
0.966,0.0035,-0.2713
0.9523,-0.0492,-0.3416
0.9523,-0.1782,-0.4179
0.9993,-0.2348,-0.4003
1.394,0.0426,-0.2576
1.5463,0.2672,-0.2284
1.4448,0.3377,-0.2342
1.0442,0.2008,-0.1423
0.7081,0.0562,-0.1756
0.6104,0.0073,-0.1697
0.6574,-0.014,-0.1541
0.8605,-0.0023,-0.1541
1.1341,0.0191,-0.1092
1.2142,0.1012,-0.0368
1.1341,0.15,-0.0368
0.9562,0.0992,-0.1033
0.8859,0.0485,-0.1599
0.8664,0.0015,-0.1697
0.9329,-0.0238,-0.1521
0.9739,-0.0218,-0.1443
0.9972,-0.012,-0.1443
0.9778,0.0211,-0.1462
0.9445,0.0171,-0.1483
0.9504,-0.0023,-0.1599
0.9562,-0.0238,-0.1932
0.9308,-0.0238,-0.1893
0.9113,0.0171,-0.1502
0.8898,0.0094,-0.1697
0.8605,-0.0355,-0.1697
0.8488,-0.059,-0.199
0.8312,-0.0296,-0.1483
0.7883,-0.0042,-0.1326
0.7608,0.0133,-0.1345
0.7394,-0.0003,-0.1814
0.7765,-0.0531,-0.2322
0.9445,-0.1528,-0.2929
