accx,accy,accz
0.9445,-0.1742,-0.2615
0.9445,-0.1742,-0.2615
0.9367,-0.1762,-0.2596
0.9289,-0.182,-0.2596
0.9171,-0.1801,-0.2576
0.9739,-0.184,-0.2771
0.9739,-0.184,-0.2771
0.9856,-0.1801,-0.2596
0.968,-0.1722,-0.2459
0.9387,-0.1742,-0.2459
0.9641,-0.1762,-0.2733
0.9641,-0.1762,-0.2733
0.9485,-0.1762,-0.2694
0.9406,-0.1859,-0.2752
0.9231,-0.184,-0.2654
0.9289,-0.2015,-0.2967
0.9387,-0.2036,-0.2771
0.9308,-0.184,-0.2654
0.9269,-0.1528,-0.2596
0.9583,-0.1976,-0.2557
0.9583,-0.1976,-0.2557
0.9562,-0.1918,-0.2674
0.9543,-0.1899,-0.244
0.9426,-0.1879,-0.2381
0.9367,-0.1468,-0.2224
0.9367,-0.1468,-0.2224
0.884,-0.1586,-0.2284
0.9485,-0.1586,-0.1932
1.0168,-0.1273,-0.2576
1.0188,-0.0981,-0.1951
1.011,-0.0921,-0.1932
1.0149,-0.0902,-0.1814
1.009,-0.0883,-0.1932
0.9152,-0.0804,-0.1716
0.9523,0.2087,-0.1639
1.0754,-0.0433,-0.1483
1.0617,0.0426,-0.1834
1.0226,0.0152,-0.1658
1.1048,-0.096,-0.1893
0.8488,-0.3384,-0.1423
0.8214,-0.2211,-0.1599
0.9543,-0.1058,-0.2068
0.9934,-0.0316,-0.1658
1.009,0.0406,-0.1912
0.9641,-0.1899,-0.1131
0.9485,-0.1626,-0.0661
0.9367,-0.1391,-0.0994
0.9758,-0.0844,-0.158
1.052,-0.3442,-0.1697
0.7804,0.6288,0.0491
1.1341,0.0445,-0.1716
1.0676,-0.0277,-0.1033
0.9797,-0.5865,-0.1541
0.8957,-0.1664,-0.1092
1.052,-0.1782,-0.1326
1.0598,-0.1293,-0.1287
0.9836,-0.1137,-0.1287
0.9797,-0.059,-0.1404
0.9816,-0.0921,-0.1169
0.9816,-0.096,-0.1345
0.9739,-0.1039,-0.1599
1.0207,-0.1078,-0.1599
0.9308,-0.1332,-0.1462
0.9094,-0.1214,-0.0701
1.0226,-0.0238,-0.242
1.0226,-0.0238,-0.242
0.9485,-0.0706,-0.1951
0.9192,-0.1097,-0.1932
0.968,-0.1254,-0.2088
0.9758,-0.1117,-0.2107
0.9699,-0.1117,-0.1951
0.9562,-0.1137,-0.199
0.9583,-0.1097,-0.1853
0.9758,-0.1039,-0.1872
0.8644,-0.1547,-0.1521
0.8644,-0.1547,-0.1521
1.052,-0.1391,-0.2147
1.0247,-0.1488,-0.1872
0.9797,-0.1488,-0.1131
0.9641,-0.0531,-0.1776
0.9778,-0.0492,-0.1619
0.9836,-0.096,-0.1697
1.013,-0.1097,-0.1893
1.0051,-0.1156,-0.1872
0.966,-0.1273,-0.1872
0.968,-0.1566,-0.1912
0.9641,-0.1645,-0.1814
0.9562,-0.1528,-0.1736
0.9895,-0.1684,-0.1795
0.9856,-0.1528,-0.1639
0.9856,-0.1528,-0.1639
0.9836,-0.1449,-0.158
0.9778,-0.1078,-0.1443
