accx,accy,accz
1.0051,0.0699,-0.242
0.9739,0.113,-0.2576
0.9641,0.107,-0.2811
0.9562,0.1168,-0.2557
0.9426,0.1168,-0.2752
0.9192,0.1226,-0.2752
0.8977,0.1012,-0.2635
0.9075,0.0308,-0.2635
0.966,-0.0042,-0.2361
0.8879,-0.0179,-0.203
0.8586,0.0094,-0.2792
0.8664,0.0426,-0.2908
0.9739,0.0191,-0.2733
1.0442,0.0191,-0.2967
1.0363,0.0171,-0.2713
0.9778,0.0289,-0.244
0.9113,0.0699,-0.2479
1.0168,0.0739,-0.2049
1.0168,0.0972,-0.2322
0.9836,0.1109,-0.2401
0.9485,0.0445,-0.199
0.9719,0.0231,-0.2244
0.9329,0.0855,-0.2244
0.9876,0.0934,-0.2322
1.0149,0.0504,-0.2733
1.007,0.0641,-0.2342
0.9192,0.0328,-0.244
1.181,-0.0746,-0.2654
0.9426,-0.0003,-0.3476
0.9914,-0.1528,-0.2596
1.0363,-0.0706,-0.3085
0.9171,-0.0804,-0.3045
0.9367,0.0582,-0.1502
0.8078,0.5037,0.0197
0.7492,0.2966,-0.244
0.9289,0.2145,-0.2576
0.9583,0.154,-0.2498
0.9192,0.1188,-0.2147
0.8312,0.2282,-0.2381
0.8684,0.2126,-0.1912
0.9329,0.1852,-0.1795
0.9914,0.1715,-0.1834
1.011,0.1794,-0.1716
0.9329,0.1657,-0.1678
0.9211,0.1461,-0.1541
0.9562,0.1207,-0.1716
1.011,0.0836,-0.1365
1.0324,0.0621,-0.1521
1.0735,0.0113,-0.1736
1.0657,-0.0277,-0.2107
1.0363,-0.0375,-0.199
1.0012,-0.055,-0.197
0.9641,0.0231,-0.1599
0.9953,0.0387,-0.203
1.013,0.0269,-0.199
0.9543,0.0289,-0.2713
0.839,0.0992,-0.0798
1.054,-0.0823,-0.1776
1.0461,-0.1019,-0.1345
0.9778,-0.0648,-0.1208
0.9015,-0.0473,-0.1814
0.9465,-0.059,-0.1756
1.0931,-0.1371,-0.2459
0.9856,-0.1176,-0.2381
1.009,-0.1117,-0.1893
0.9348,-0.1137,-0.1639
1.1634,-0.1645,-0.1619
1.0051,-0.0687,-0.1404
0.9192,0.0485,-0.0896
0.9445,-0.0003,-0.0954
1.138,-0.0765,-0.1385
1.1126,-0.055,-0.0838
1.0012,0.0485,-0.2068
1.0344,0.0718,-0.0486
1.0559,-0.0003,-0.1541
1.1986,-0.0101,-0.1736
1.0892,0.0855,-0.115
0.9192,0.3024,0.0822
1.1672,0.2145,-0.0896
0.884,0.3024,0.0451
0.8312,0.3357,-0.0505
0.7452,0.3377,-0.0857
0.755,0.2868,-0.1345
0.7608,0.2576,-0.1248
0.7804,0.2751,-0.1599
0.8859,0.2458,-0.1111
0.9719,0.2751,-0.115
0.9778,0.3259,-0.0877
0.9406,0.4295,-0.1052
0.8859,0.4549,-0.0975
0.9133,0.3787,-0.2147
0.8938,0.2536,-0.2517
0.8214,0.1852,-0.2929
0.8097,0.0464,-0.3866
1.0363,-0.1957,-0.3182
1.0598,-0.1664,-0.2635
1.1243,-0.0218,-0.2615
1.0051,0.1032,-0.2713
0.9387,0.109,-0.2654
0.8195,0.066,-0.2831
0.7883,0.0739,-0.2635
0.8742,0.0992,-0.2948
0.9367,0.0914,-0.2831
1.0247,0.1032,-0.2713
1.0911,0.068,-0.2381
0.9719,0.0406,-0.3456
0.8977,0.0406,-0.2948
0.9133,0.0504,-0.3182
0.9269,0.0582,-0.3045
0.9445,0.0328,-0.3162
0.968,0.0231,-0.3143
0.966,0.0289,-0.3124
0.9192,0.0367,-0.3202
