time,gFx,gFy,gFz,TgF
5.006312,1.1732,0.066,-0.2263,1.2
5.053082,1.1008,-0.0667,-0.2068,1.12
5.053283,1.1008,-0.0667,-0.2068,1.12
5.053458,1.1008,-0.0667,-0.2068,1.12
5.086056,1.0344,0.3513,-0.1776,1.11
5.108415,1.1556,0.361,-0.1951,1.23
5.148736,1.2161,0.0348,-0.371,1.27
5.148939,1.2161,0.0348,-0.371,1.27
5.152104,1.2142,0.0348,-0.3807,1.27
5.185719,1.1907,-0.1,-0.3807,1.25
5.206665,1.0032,-0.1312,-0.3827,1.08
5.243388,0.7061,-0.1449,-0.3143,0.79
5.243591,0.7061,-0.1449,-0.3143,0.79
5.268137,0.7101,-0.0667,-0.2733,0.76
5.285202,0.7433,0.0504,-0.2908,0.8
5.304285,0.7433,0.1286,-0.2792,0.8
5.32376,0.6984,0.109,-0.3085,0.77
5.333476,0.671,0.0934,-0.3124,0.75
5.367154,0.6104,0.0621,-0.3514,0.71
5.38484,0.6378,0.0231,-0.41,0.76
5.40536,0.6183,-0.0609,-0.4725,0.78
5.453037,0.6495,-0.0863,-0.5781,0.87
5.453255,0.6495,-0.0863,-0.5781,0.87
5.466843,0.714,-0.059,-0.5253,0.89
5.482045,0.8644,-0.0218,-0.4413,0.97
5.504955,1.1927,0.068,-0.4999,1.29
5.540779,1.1008,-0.0023,-0.7969,1.36
5.541025,1.1008,-0.0023,-0.7969,1.36
5.565799,0.6749,-0.1371,-1.0568,1.26
5.582872,0.8664,-0.1235,-0.6348,1.08
5.605465,1.5913,0.1657,-0.5058,1.68
5.625103,1.0715,0.5428,-0.2576,1.23
5.649506,0.6358,0.1344,-0.2771,0.71
5.665689,0.5752,-0.0863,0.0139,0.58
5.68537,0.8507,-0.0238,-0.1071,0.86
5.712333,1.4682,0.1246,-0.285,1.5
5.732557,1.2279,0.1461,-0.3593,1.29
5.749265,0.9075,0.0231,-0.3397,0.97
5.765633,0.7883,0.0054,-0.2889,0.84
5.780224,0.8273,0.0543,-0.2147,0.86
5.80076,0.8019,0.1188,-0.2205,0.84
5.820066,0.8019,0.0485,-0.2752,0.85
5.847442,0.8156,-0.0355,-0.2361,0.85
5.864038,0.8195,-0.0648,-0.2224,0.85
5.880202,0.8703,-0.1273,-0.285,0.92
5.899425,0.8742,-0.1859,-0.3593,0.96
5.929099,0.8684,-0.1957,-0.3104,0.94
5.947469,0.8293,-0.1528,-0.3006,0.9
5.964017,0.8234,-0.1273,-0.3006,0.89
5.97947,0.8312,-0.096,-0.2908,0.89
6.023071,0.9699,-0.0257,-0.2674,1.01
6.023269,0.9699,-0.0257,-0.2674,1.01
6.045126,0.9836,-0.0531,-0.2538,1.02
6.062658,1.0286,-0.0746,-0.2205,1.05
6.101647,1.0188,-0.2015,-0.2517,1.07
6.1023,1.0188,-0.2015,-0.2517,1.07
6.13918,0.9758,-0.0413,-0.3045,1.02
6.145377,0.9895,0.0171,-0.3182,1.04
6.162436,1.222,-0.0023,-0.1912,1.24
6.187589,1.2474,-0.1078,-0.2831,1.28
6.224947,1.2103,0.2888,-0.2596,1.27
6.225146,1.2103,0.2888,-0.2596,1.27
6.245348,1.2005,0.4236,-0.1443,1.28
6.262605,1.2454,0.3377,-0.1736,1.3
6.285292,1.1165,0.2067,-0.2635,1.17
6.312957,1.2161,0.0797,-0.3065,1.26
6.328196,1.2415,0.0485,-0.328,1.29
6.343887,1.1243,0.0191,-0.3612,1.18
6.383304,0.798,-0.0531,-0.2752,0.85
6.403272,0.7394,-0.0238,-0.1678,0.76
6.411024,0.7315,-0.0062,-0.1776,0.75
6.428777,0.6847,0.0269,-0.2107,0.72
6.444364,0.6378,0.0445,-0.2342,0.68
6.483497,0.6574,0.0464,-0.3378,0.74
6.500018,0.6768,0.0406,-0.373,0.77
6.51053,0.667,0.0328,-0.4022,0.78
6.52779,0.6632,0.0035,-0.4257,0.79
6.547202,0.6476,-0.0629,-0.4531,0.79
6.582522,0.6241,-0.0492,-0.5547,0.84
