time,gFx,gFy,gFz,TgF
5.012276,0.9445,-0.1742,-0.2615,1.0
5.012481,0.9445,-0.1742,-0.2615,1.0
5.026106,0.9367,-0.1762,-0.2596,0.99
5.061138,0.9289,-0.182,-0.2596,0.98
5.080756,0.9171,-0.1801,-0.2576,0.97
5.108991,0.9739,-0.184,-0.2771,1.03
5.109237,0.9739,-0.184,-0.2771,1.03
5.14373,0.9856,-0.1801,-0.2596,1.04
5.160621,0.968,-0.1722,-0.2459,1.01
5.18061,0.9387,-0.1742,-0.2459,0.99
5.205926,0.9641,-0.1762,-0.2733,1.02
5.208548,0.9641,-0.1762,-0.2733,1.02
5.243799,0.9485,-0.1762,-0.2694,1.0
5.258427,0.9406,-0.1859,-0.2752,1.0
5.278914,0.9231,-0.184,-0.2654,0.98
5.304693,0.9289,-0.2015,-0.2967,1.0
5.325661,0.9387,-0.2036,-0.2771,1.0
5.341473,0.9308,-0.184,-0.2654,0.99
5.362349,0.9269,-0.1528,-0.2596,0.97
5.394535,0.9583,-0.1976,-0.2557,1.01
5.394772,0.9583,-0.1976,-0.2557,1.01
5.424211,0.9562,-0.1918,-0.2674,1.01
5.442754,0.9543,-0.1899,-0.244,1.0
5.462698,0.9426,-0.1879,-0.2381,0.99
5.497065,0.9367,-0.1468,-0.2224,0.97
5.497263,0.9367,-0.1468,-0.2224,0.97
5.523716,0.884,-0.1586,-0.2284,0.93
5.54254,0.9485,-0.1586,-0.1932,0.98
5.557958,1.0168,-0.1273,-0.2576,1.06
5.578479,1.0188,-0.0981,-0.1951,1.04
5.613814,1.011,-0.0921,-0.1932,1.03
5.622617,1.0149,-0.0902,-0.1814,1.03
5.640417,1.009,-0.0883,-0.1932,1.03
5.661426,0.9152,-0.0804,-0.1716,0.93
5.693325,0.9523,0.2087,-0.1639,0.99
5.706389,1.0754,-0.0433,-0.1483,1.09
5.723486,1.0617,0.0426,-0.1834,1.08
5.739408,1.0226,0.0152,-0.1658,1.04
5.759508,1.1048,-0.096,-0.1893,1.12
5.789156,0.8488,-0.3384,-0.1423,0.92
5.805942,0.8214,-0.2211,-0.1599,0.87
5.823312,0.9543,-0.1058,-0.2068,0.98
5.838186,0.9934,-0.0316,-0.1658,1.01
5.858931,1.009,0.0406,-0.1912,1.03
5.892913,0.9641,-0.1899,-0.1131,0.99
5.904628,0.9485,-0.1626,-0.0661,0.96
5.922427,0.9367,-0.1391,-0.0994,0.95
5.939016,0.9758,-0.0844,-0.158,0.99
5.969923,1.052,-0.3442,-0.1697,1.12
5.988305,0.7804,0.6288,0.0491,1.0
6.005461,1.1341,0.0445,-0.1716,1.15
6.02197,1.0676,-0.0277,-0.1033,1.07
6.057957,0.9797,-0.5865,-0.1541,1.15
6.075912,0.8957,-0.1664,-0.1092,0.92
6.087181,1.052,-0.1782,-0.1326,1.08
6.104778,1.0598,-0.1293,-0.1287,1.08
6.121453,0.9836,-0.1137,-0.1287,1.0
6.154205,0.9797,-0.059,-0.1404,0.99
6.173191,0.9816,-0.0921,-0.1169,0.99
6.197281,0.9816,-0.096,-0.1345,1.0
6.202333,0.9739,-0.1039,-0.1599,0.99
6.237374,1.0207,-0.1078,-0.1599,1.04
6.253672,0.9308,-0.1332,-0.1462,0.95
6.273944,0.9094,-0.1214,-0.0701,0.92
6.304389,1.0226,-0.0238,-0.242,1.05
6.304608,1.0226,-0.0238,-0.242,1.05
6.337069,0.9485,-0.0706,-0.1951,0.97
6.35371,0.9192,-0.1097,-0.1932,0.95
6.374717,0.968,-0.1254,-0.2088,1.0
6.41419,0.9758,-0.1117,-0.2107,1.0
6.414717,0.9699,-0.1117,-0.1951,1.0
6.436808,0.9562,-0.1137,-0.199,0.98
6.453336,0.9583,-0.1097,-0.1853,0.98
6.473826,0.9758,-0.1039,-0.1872,1.0
6.510933,0.8644,-0.1547,-0.1521,0.89
6.511172,0.8644,-0.1547,-0.1521,0.89
6.53612,1.052,-0.1391,-0.2147,1.08
6.552747,1.0247,-0.1488,-0.1872,1.05
6.57269,0.9797,-0.1488,-0.1131,1.0
6.598272,0.9641,-0.0531,-0.1776,0.98
6.61773,0.9778,-0.0492,-0.1619,0.99
6.63534,0.9836,-0.096,-0.1697,1.0
6.651646,1.013,-0.1097,-0.1893,1.04
6.669105,1.0051,-0.1156,-0.1872,1.03
6.689738,0.966,-0.1273,-0.1872,0.99
6.727792,0.968,-0.1566,-0.1912,1.0
6.733298,0.9641,-0.1645,-0.1814,0.99
6.751511,0.9562,-0.1528,-0.1736,0.98
6.788314,0.9895,-0.1684,-0.1795,1.02
6.825124,0.9856,-0.1528,-0.1639,1.01
6.825345,0.9856,-0.1528,-0.1639,1.01
6.832439,0.9836,-0.1449,-0.158,1.01
6.867113,0.9778,-0.1078,-0.1443,0.99
6.887702,0.9602,-0.1137,-0.1404,0.98
6.928772,0.9523,-0.1918,-0.1736,0.99
6.92921,0.9523,-0.1918,-0.1736,0.99
6.932426,0.9523,-0.2015,-0.1814,0.99
6.970369,0.9562,-0.2153,-0.1678,0.99
7.010442,0.9914,-0.1762,-0.1541,1.02
7.010824,0.9914,-0.1762,-0.1541,1.02
7.014158,0.9876,-0.1684,-0.158,1.01
7.033552,0.9993,-0.1703,-0.1678,1.03
7.066138,0.9856,-0.2563,-0.199,1.04
7.08689,0.9739,-0.2739,-0.1932,1.03
7.123561,0.9523,-0.2602,-0.1697,1.0
7.123768,0.9523,-0.2602,-0.1697,1.0
7.148343,1.0012,-0.2485,-0.1814,1.05
7.167045,1.052,-0.2485,-0.2147,1.1
7.186151,1.054,-0.2485,-0.2361,1.11
7.223186,0.9993,-0.2211,-0.1736,1.04
7.223451,0.9993,-0.2211,-0.1736,1.04
7.247862,1.0324,-0.1996,-0.158,1.06
7.264505,1.0931,-0.1684,-0.1443,1.12
7.285659,1.2377,-0.1137,-0.0779,1.25
7.32602,1.1849,-0.184,-0.1541,1.21
7.326506,1.1849,-0.184,-0.1541,1.21
7.346811,1.1399,-0.1351,-0.1423,1.16
7.363573,1.2571,-0.0883,-0.1404,1.27
7.385738,1.39,-0.0473,-0.1893,1.4
7.417005,1.181,0.1559,-0.2517,1.22
7.429814,1.1888,0.152,-0.2166,1.22
7.446454,1.1576,0.0934,-0.197,1.18
7.467068,1.0989,-0.0706,0.0744,1.1
7.503138,0.9972,-0.0921,-0.2517,1.03
7.503361,0.9972,-0.0921,-0.2517,1.03
7.529601,1.0247,-0.0648,-0.2635,1.06
7.546769,1.0051,-0.0433,-0.3124,1.05
7.565954,0.9387,-0.0336,-0.2987,0.99
7.603808,0.8312,0.0504,-0.3416,0.9
7.604019,0.8312,0.0504,-0.3416,0.9
7.629343,0.7648,0.0914,-0.2908,0.82
7.646614,0.7589,0.0504,-0.244,0.8
7.666113,0.7257,-0.0003,-0.3632,0.81
7.703233,0.7804,-0.0902,-0.4785,0.92
7.710809,0.7862,-0.1058,-0.4569,0.92
7.728778,0.6866,-0.0706,-0.4725,0.84
7.745673,0.6026,-0.0199,-0.5097,0.79
7.782123,0.5771,0.0718,-0.412,0.71
7.81334,0.5908,0.0855,-0.4862,0.77
7.813555,0.5908,0.0855,-0.4862,0.77
7.827184,0.5908,0.0914,-0.5409,0.81
7.861715,0.5557,0.0231,-0.5957,0.82
7.883592,0.5479,0.0035,-0.6269,0.83
7.894965,0.5498,-0.0238,-0.6211,0.83
7.909636,0.544,-0.0727,-0.6054,0.82
7.928722,0.6124,-0.1,-0.6758,0.92
7.960514,0.7667,-0.0804,-0.7286,1.06
7.981866,0.8938,-0.0101,-0.6562,1.11
8.003333,1.2279,0.1813,-0.6465,1.4
8.008909,1.2943,0.2067,-0.6152,1.45
8.026845,1.435,0.2946,-0.6269,1.59
8.060636,1.0579,0.0953,-0.5605,1.2
8.084373,0.9523,0.0621,-0.3924,1.03
8.117782,0.9192,-0.0003,-0.3241,0.97
8.121011,0.9054,0.0094,-0.326,0.96
8.14272,0.8586,0.0758,-0.3006,0.91
8.159799,0.9348,0.1383,-0.2831,0.99
8.18054,0.9972,0.2126,-0.3006,1.06
8.213102,0.9739,0.1207,-0.2948,1.02
8.213299,0.9739,0.1207,-0.2948,1.02
8.241849,0.9035,-0.0159,-0.2635,0.94
8.259022,0.8781,-0.0863,-0.2674,0.92
8.279814,0.8938,-0.1019,-0.2694,0.94
8.31227,0.9289,-0.1528,-0.2733,0.98
8.312479,0.9289,-0.1528,-0.2733,0.98
8.34138,0.8781,-0.0785,-0.2596,0.92
8.358894,0.8644,-0.059,-0.2615,0.91
8.379573,0.8527,-0.0492,-0.2615,0.89
8.39684,0.882,-0.0375,-0.2303,0.91
8.424591,0.9094,-0.1176,-0.1853,0.94
8.440636,0.8507,-0.1351,-0.2205,0.89
8.460012,0.8175,-0.1566,-0.2557,0.87
8.474345,0.7902,-0.1645,-0.2479,0.84
8.4956,0.7921,-0.184,-0.1619,0.83
8.531416,0.8938,-0.1684,-0.2126,0.93
8.539748,0.9367,-0.1742,-0.203,0.97
8.556693,0.9621,-0.1782,-0.2224,1.0
8.578203,0.9465,-0.184,-0.2733,1.0
8.614857,1.0188,-0.2192,-0.2987,1.08
8.622701,1.0305,-0.225,-0.2908,1.09
8.639713,1.0559,-0.1996,-0.2596,1.11
8.681982,1.1868,-0.0531,-0.1814,1.2
8.682536,1.1868,-0.0531,-0.1814,1.2
8.71191,1.2923,-0.0667,-0.0994,1.3
8.722368,1.2571,-0.1938,-0.2342,1.29
8.740199,1.1478,-0.3813,-0.285,1.24
8.775107,1.2161,0.0426,-0.1599,1.23
8.805223,1.1634,0.1266,-0.1462,1.18
8.805442,1.1634,0.1266,-0.1462,1.18
8.822003,0.9895,0.1051,-0.1208,1.0
8.840047,0.9211,0.1032,-0.0798,0.93
8.874633,1.0598,0.0054,-0.2401,1.09
8.887849,1.1106,-0.0316,-0.1872,1.13
8.90587,1.0774,-0.0394,-0.1287,1.09
8.921868,1.007,-0.0003,-0.1599,1.02
8.954787,1.0226,0.0426,-0.2126,1.05
8.971032,1.0363,0.0367,-0.2792,1.07
8.992617,1.007,0.0073,-0.2811,1.05
9.021885,0.9523,0.0094,-0.3104,1.0
9.037457,0.968,0.0231,-0.3241,1.02
9.054948,0.9641,0.0406,-0.3553,1.03
9.071306,0.9211,0.0171,-0.3065,0.97
9.090782,0.8449,-0.0277,-0.2831,0.89
9.106486,0.8253,-0.0569,-0.3299,0.89
9.136455,0.8214,-0.0336,-0.3924,0.91
9.153327,0.8019,-0.0023,-0.4003,0.9
9.170349,0.7687,0.025,-0.4687,0.9
