time,gFx,gFy,gFz,TgF
5.003746,0.8586,-0.1703,0.0256,0.88
5.023685,1.3373,-0.3071,-0.4745,1.45
5.047329,0.8507,-0.0375,0.0588,0.85
5.07047,1.0188,0.0289,0.051,1.02
5.086598,1.183,0.0308,0.0901,1.19
5.122944,1.2748,-0.2387,-0.0759,1.3
5.14459,0.8566,-0.1,0.1233,0.87
5.152193,0.671,-0.1019,0.0276,0.68
5.168885,0.4229,-0.0375,-0.201,0.47
5.186475,0.9445,0.0504,-0.0623,0.95
5.222709,1.011,-0.0667,0.0588,1.01
5.240686,0.8156,0.0406,-0.1111,0.82
5.252052,0.628,0.1559,-0.0857,0.65
5.268693,0.8917,0.2634,-0.029,0.93
5.302843,0.9602,0.2106,-0.2479,1.01
5.327425,0.9583,0.0113,-0.1423,0.97
5.345743,0.9816,0.0231,0.0197,0.98
5.350139,0.8586,-0.0473,-0.029,0.86
5.383955,0.9504,-0.0667,-0.1502,0.96
5.400874,1.0481,-0.0823,-0.115,1.06
5.42164,1.0989,0.1149,-0.2361,1.13
5.43649,0.8586,0.0231,0.1115,0.87
5.450854,1.0833,0.0269,-0.0153,1.08
5.485764,1.2005,-0.055,-0.0114,1.2
5.50136,1.3178,-0.1,-0.1326,1.33
5.521155,0.966,0.0171,-0.2361,0.99
5.540998,0.673,0.2595,-0.1853,0.74
5.551068,0.6299,0.3317,-0.1052,0.72
5.583148,0.8977,0.3279,-0.2479,0.99
5.600029,0.8664,0.2809,-0.2889,0.96
5.62079,0.8977,0.238,-0.2635,0.97
5.644348,1.2396,0.2536,-0.2401,1.29
5.667102,1.0012,0.1149,-0.0798,1.01
5.68244,0.7238,-0.055,-0.2674,0.77
5.699609,0.6924,-0.1019,-0.2948,0.76
5.72081,0.9523,0.0758,-0.1541,0.97
5.739928,1.009,-0.0101,-0.0603,1.01
5.766253,0.7765,-0.1176,-0.1814,0.81
5.782604,0.9621,0.0739,-0.3241,1.02
5.798844,0.8586,-0.0453,-0.2967,0.91
5.817306,0.8996,0.1363,-0.1483,0.92
5.839039,1.0168,0.2282,0.223,1.07
5.865481,1.2923,-0.0863,-0.0564,1.3
5.88243,1.0638,0.0641,-0.1071,1.07
5.897851,1.0384,0.0699,-0.2068,1.06
5.919987,0.8859,0.1676,-0.1326,0.91
5.943132,1.177,-0.0921,-0.0779,1.18
5.964999,1.1008,-0.0218,-0.0447,1.1
5.98257,1.1556,0.0289,-0.0584,1.16
6.022884,0.8781,0.15,-0.033,0.89
6.023454,0.8781,0.15,-0.033,0.89
6.044482,0.9426,0.0231,0.0686,0.95
6.064238,1.0384,-0.0277,-0.0427,1.04
6.083421,1.0305,0.0171,-0.0642,1.03
6.113788,0.9426,0.0054,-0.1131,0.95
6.131746,1.0676,-0.0023,-0.0544,1.07
6.145867,1.1439,0.0367,0.0588,1.15
6.163017,1.3412,-0.0336,0.0842,1.34
6.195805,1.0579,-0.0101,-0.1853,1.07
6.213852,0.9015,0.1696,0.4867,1.04
6.232456,0.7277,0.0562,-0.1052,0.74
6.244758,0.6886,0.3494,0.4613,0.9
6.262417,0.9348,-0.0316,-0.203,0.96
6.299274,1.052,0.3454,0.0276,1.11
6.313169,1.0501,0.3767,0.0803,1.12
6.332214,1.2005,0.2224,0.1546,1.23
6.363223,1.013,-0.4341,-0.199,1.12
6.37838,1.0481,-0.7076,-0.3358,1.31
6.396699,0.9602,-0.3715,-0.3124,1.08
6.412715,0.9015,-0.2583,-0.2107,0.96
6.433245,0.8468,-0.0492,-0.027,0.85
6.459369,0.9465,-0.0179,0.1976,0.97
6.477823,1.0813,0.1344,0.0237,1.09
