time,gFx,gFy,gFz,TgF
5.010228,1.0051,0.0699,-0.242,1.04
5.02473,0.9739,0.113,-0.2576,1.01
5.045536,0.9641,0.107,-0.2811,1.01
5.077377,0.9562,0.1168,-0.2557,1.0
5.091694,0.9426,0.1168,-0.2752,0.99
5.10767,0.9192,0.1226,-0.2752,0.97
5.126643,0.8977,0.1012,-0.2635,0.94
5.144935,0.9075,0.0308,-0.2635,0.95
5.176649,0.966,-0.0042,-0.2361,0.99
5.191434,0.8879,-0.0179,-0.203,0.91
5.210677,0.8586,0.0094,-0.2792,0.9
5.223069,0.8664,0.0426,-0.2908,0.91
5.242801,0.9739,0.0191,-0.2733,1.01
5.280764,1.0442,0.0191,-0.2967,1.09
5.291484,1.0363,0.0171,-0.2713,1.07
5.30639,0.9778,0.0289,-0.244,1.01
5.324234,0.9113,0.0699,-0.2479,0.95
5.358203,1.0168,0.0739,-0.2049,1.04
5.382769,1.0168,0.0972,-0.2322,1.05
5.389356,0.9836,0.1109,-0.2401,1.02
5.405212,0.9485,0.0445,-0.199,0.97
5.439499,0.9719,0.0231,-0.2244,1.0
5.456633,0.9329,0.0855,-0.2244,0.96
5.478565,0.9876,0.0934,-0.2322,1.02
5.488429,1.0149,0.0504,-0.2733,1.05
5.522843,1.007,0.0641,-0.2342,1.04
5.539638,0.9192,0.0328,-0.244,0.95
5.554361,1.181,-0.0746,-0.2654,1.21
5.576095,0.9426,-0.0003,-0.3476,1.0
5.58919,0.9914,-0.1528,-0.2596,1.04
5.621523,1.0363,-0.0706,-0.3085,1.08
5.638392,0.9171,-0.0804,-0.3045,0.97
5.655884,0.9367,0.0582,-0.1502,0.95
5.676702,0.8078,0.5037,0.0197,0.95
5.692626,0.7492,0.2966,-0.244,0.84
5.725902,0.9289,0.2145,-0.2576,0.99
5.74684,0.9583,0.154,-0.2498,1.0
5.759738,0.9192,0.1188,-0.2147,0.95
5.783202,0.8312,0.2282,-0.2381,0.89
5.808667,0.8684,0.2126,-0.1912,0.91
5.823638,0.9329,0.1852,-0.1795,0.97
5.837553,0.9914,0.1715,-0.1834,1.02
5.854214,1.011,0.1794,-0.1716,1.04
5.88899,0.9329,0.1657,-0.1678,0.96
5.906094,0.9211,0.1461,-0.1541,0.95
5.91925,0.9562,0.1207,-0.1716,0.98
5.935641,1.011,0.0836,-0.1365,1.02
5.953082,1.0324,0.0621,-0.1521,1.05
5.985962,1.0735,0.0113,-0.1736,1.09
6.002738,1.0657,-0.0277,-0.2107,1.09
6.01903,1.0363,-0.0375,-0.199,1.06
6.035019,1.0012,-0.055,-0.197,1.02
6.071402,0.9641,0.0231,-0.1599,0.98
6.086177,0.9953,0.0387,-0.203,1.02
6.102235,1.013,0.0269,-0.199,1.03
6.118579,0.9543,0.0289,-0.2713,0.99
6.135571,0.839,0.0992,-0.0798,0.85
6.172384,1.054,-0.0823,-0.1776,1.07
6.189441,1.0461,-0.1019,-0.1345,1.06
6.202271,0.9778,-0.0648,-0.1208,0.99
6.221799,0.9015,-0.0473,-0.1814,0.92
6.236116,0.9465,-0.059,-0.1756,0.96
6.271028,1.0931,-0.1371,-0.2459,1.13
6.285283,0.9856,-0.1176,-0.2381,1.02
6.302159,1.009,-0.1117,-0.1893,1.03
6.318969,0.9348,-0.1137,-0.1639,0.96
6.352519,1.1634,-0.1645,-0.1619,1.19
6.36705,1.0051,-0.0687,-0.1404,1.02
6.390439,0.9192,0.0485,-0.0896,0.92
6.402029,0.9445,-0.0003,-0.0954,0.95
6.417939,1.138,-0.0765,-0.1385,1.15
6.450242,1.1126,-0.055,-0.0838,1.12
6.467688,1.0012,0.0485,-0.2068,1.02
6.487469,1.0344,0.0718,-0.0486,1.04
6.508335,1.0559,-0.0003,-0.1541,1.07
6.533047,1.1986,-0.0101,-0.1736,1.21
6.551322,1.0892,0.0855,-0.115,1.1
6.567619,0.9192,0.3024,0.0822,0.97
6.585791,1.1672,0.2145,-0.0896,1.19
6.598826,0.884,0.3024,0.0451,0.94
6.632943,0.8312,0.3357,-0.0505,0.9
6.650081,0.7452,0.3377,-0.0857,0.82
6.667528,0.755,0.2868,-0.1345,0.82
6.685717,0.7608,0.2576,-0.1248,0.81
6.70006,0.7804,0.2751,-0.1599,0.84
6.731784,0.8859,0.2458,-0.1111,0.93
6.749253,0.9719,0.2751,-0.115,1.02
6.767032,0.9778,0.3259,-0.0877,1.03
6.788567,0.9406,0.4295,-0.1052,1.04
6.802421,0.8859,0.4549,-0.0975,1.0
6.831378,0.9133,0.3787,-0.2147,1.01
6.8502,0.8938,0.2536,-0.2517,0.96
6.86533,0.8214,0.1852,-0.2929,0.89
6.88771,0.8097,0.0464,-0.3866,0.9
6.914296,1.0363,-0.1957,-0.3182,1.1
6.930485,1.0598,-0.1664,-0.2635,1.1
6.948653,1.1243,-0.0218,-0.2615,1.15
6.965798,1.0051,0.1032,-0.2713,1.05
6.98852,0.9387,0.109,-0.2654,0.98
7.013455,0.8195,0.066,-0.2831,0.87
7.03028,0.7883,0.0739,-0.2635,0.83
7.049454,0.8742,0.0992,-0.2948,0.93
7.06251,0.9367,0.0914,-0.2831,0.98
7.084556,1.0247,0.1032,-0.2713,1.07
7.103607,1.0911,0.068,-0.2381,1.12
7.128716,0.9719,0.0406,-0.3456,1.03
7.145691,0.8977,0.0406,-0.2948,0.95
7.165524,0.9133,0.0504,-0.3182,0.97
7.195645,0.9269,0.0582,-0.3045,0.98
7.21219,0.9445,0.0328,-0.3162,1.0
7.229011,0.968,0.0231,-0.3143,1.02
7.244817,0.966,0.0289,-0.3124,1.02
7.26481,0.9192,0.0367,-0.3202,0.97
7.29529,0.8977,-0.0159,-0.3241,0.95
7.312761,0.9445,-0.0296,-0.3241,1.0
7.328177,0.9836,-0.0218,-0.3085,1.03
7.344219,0.968,0.0015,-0.3026,1.01
7.377175,0.9113,-0.0375,-0.3339,0.97
7.394453,0.8977,-0.0511,-0.3456,0.96
7.410952,0.8957,-0.0687,-0.3299,0.96
7.427891,0.9739,-0.2524,-0.5116,1.13
7.463608,0.8742,0.0582,-0.2596,0.91
7.479526,1.0032,0.0035,-0.4022,1.08
7.494552,1.0794,0.025,-0.2517,1.11
7.510818,1.222,0.1149,-0.242,1.25
7.52785,1.3178,0.2008,-0.244,1.36
7.544698,1.3158,0.2145,-0.1834,1.35
7.576451,1.0149,0.0876,-0.3299,1.07
7.594266,0.7296,0.0876,-0.2284,0.77
7.611584,0.712,0.0972,-0.1893,0.74
7.628487,0.8859,0.0855,-0.1932,0.91
7.646697,0.9972,0.1207,-0.1326,1.01
7.682883,1.011,0.0699,-0.1052,1.02
7.709397,0.8703,0.1324,-0.1306,0.89
7.709874,0.8703,0.1324,-0.1306,0.89
7.743554,0.9035,0.2106,-0.0954,0.93
7.760188,0.9367,0.2418,-0.033,0.97
7.781782,0.968,0.2145,-0.0212,0.99
7.795015,0.9758,0.1891,-0.029,0.99
7.810169,0.9953,0.1188,-0.0525,1.0
7.843773,1.013,-0.014,-0.1013,1.02
7.863386,1.013,-0.0453,-0.1951,1.03
7.881896,1.0344,-0.0667,-0.1912,1.05
7.902432,0.9739,-0.0336,-0.1229,0.98
7.917019,0.966,0.0073,-0.0798,0.97
7.943195,1.0384,0.0015,-0.1111,1.04
7.960064,1.0344,-0.012,-0.1208,1.04
7.975314,1.0032,-0.0257,-0.1345,1.01
7.995545,0.9621,-0.0433,-0.1443,0.97
8.014998,0.9504,-0.0629,-0.1385,0.96
8.042812,0.9523,-0.0765,-0.1541,0.97
8.058666,0.9758,-0.0804,-0.1619,0.99
8.075572,1.0188,-0.0883,-0.1736,1.04
8.09546,1.0403,-0.0804,-0.1385,1.05
8.125313,1.0305,-0.0355,-0.1306,1.04
8.142034,1.0384,-0.0375,-0.1306,1.05
8.158617,1.0344,-0.055,-0.1267,1.04
8.174932,1.0344,-0.0765,-0.1248,1.04
8.195555,1.0969,-0.1097,-0.1423,1.11
8.229403,1.2279,-0.0727,-0.1736,1.24
8.241471,1.2611,-0.0569,-0.1599,1.27
