# Target Sample Rate: 415 Hz
time,gFx,gFy,gFz,TgF
0.00104,0.8214,0.0142,0.4434,0.934
0.004567812,0.8526,-0.0024,0.5025,0.990
0.009299427,0.8692,-0.0044,0.5284,1.017
0.012348593,0.8775,-0.0063,0.5372,1.029
0.017755885,0.8893,-0.0005,0.5440,1.042
0.021252031,0.9000,0.0063,0.5484,1.054
0.023761197,0.9049,0.0083,0.5503,1.059
0.028611093,0.9015,0.0200,0.5499,1.056
0.033334791,0.8956,0.0313,0.5450,1.049
0.038097395,0.8858,0.0488,0.5396,1.038
0.042785572,0.8726,0.0576,0.5196,1.017
0.045253385,0.8702,0.0571,0.5079,1.009
0.049780572,0.8595,0.0591,0.4805,0.986
0.052318697,0.8512,0.0615,0.4678,0.973
0.05764151,0.8272,0.0762,0.4498,0.945
0.060445572,0.8131,0.0845,0.4517,0.934
0.064480781,0.7789,0.1069,0.4395,0.901
0.069116927,0.7628,0.1162,0.4146,0.876
0.071528177,0.7716,0.1016,0.3975,0.874
0.074078489,0.7847,0.0850,0.3750,0.874
0.078061822,0.7960,0.0732,0.3516,0.873
0.081304218,0.8043,0.0693,0.3243,0.870
0.086020156,0.8048,0.0713,0.3433,0.878
0.090478281,0.8092,0.0620,0.3550,0.886
0.094013333,0.8057,0.0552,0.3545,0.882
0.098278177,0.8199,0.0303,0.3238,0.882
0.102985208,0.8385,-0.0073,0.2793,0.884
0.105525208,0.8336,-0.0083,0.2798,0.879
0.111050156,0.8307,-0.0356,0.3003,0.884
0.114240416,0.8307,-0.0151,0.3340,0.895
0.118479843,0.8502,0.0234,0.3995,0.940
0.122058385,0.8897,0.0581,0.4722,1.009
0.124496041,0.9122,0.0674,0.5142,1.049
0.127517812,0.9356,0.0596,0.5479,1.086
0.13117651,0.9293,0.0649,0.5333,1.073
0.133945833,0.9063,0.0737,0.4815,1.029
0.137340937,0.8775,0.0923,0.4273,0.980
0.140949687,0.8223,0.1387,0.4078,0.928
0.145696093,0.8204,0.1099,0.4385,0.937
0.148190781,0.8399,0.0361,0.4678,0.962
0.153019947,0.8458,0.0269,0.4380,0.953
0.158111666,0.8546,0.0371,0.4141,0.950
0.160816666,0.8624,0.0396,0.4170,0.959
0.164909427,0.8746,0.0352,0.4341,0.977
0.167750677,0.8839,0.0308,0.4439,0.990
0.171861979,0.9005,0.0127,0.4659,1.014
0.174365937,0.9049,0.0020,0.4795,1.024
0.178724843,0.9068,-0.0015,0.4908,1.031
0.181923958,0.9059,-0.0176,0.4947,1.032
0.186542447,0.8941,-0.0244,0.4942,1.022
0.188972552,0.8912,-0.0220,0.5054,1.025
0.191718281,0.8873,-0.0210,0.5157,1.026
0.194250468,0.8834,-0.0142,0.5303,1.030
0.198587864,0.8751,0.0005,0.5626,1.040
0.203307812,0.8692,0.0068,0.5762,1.043
0.205954322,0.8678,0.0063,0.5757,1.041
0.210895989,0.8643,0.0010,0.5611,1.030
0.215249375,0.8795,-0.0322,0.5308,1.028
0.21818151,0.8775,-0.0420,0.5059,1.014
0.222578593,0.8761,0.0171,0.4927,1.005
0.225094375,0.8673,0.0625,0.5401,1.024
0.229854062,0.8350,0.1182,0.6363,1.056
0.234515156,0.8097,0.1416,0.6309,1.036
0.238193593,0.8009,0.1431,0.6026,1.012
0.241391354,0.7887,0.1421,0.5889,0.994
0.244895208,0.8009,0.1348,0.5674,0.991
0.249485364,0.8463,0.1123,0.4991,0.989
0.253171874,0.8971,0.0806,0.4351,1.000
0.255910937,0.9200,0.0625,0.4078,1.008
0.258338124,0.9317,0.0396,0.3858,1.009
0.26078901,0.9366,0.0195,0.3824,1.012
0.26319776,0.9356,0.0103,0.3990,1.017
0.268225937,0.9234,0.0190,0.4581,1.031
0.272580729,0.8873,0.0366,0.5123,1.025
0.275036562,0.8726,0.0454,0.5289,1.021
0.278174791,0.8619,0.0493,0.5372,1.017
0.282317239,0.8546,0.0449,0.5386,1.011
0.284986562,0.8565,0.0483,0.5377,1.012
0.289144739,0.8751,0.0493,0.5298,1.024
0.291569427,0.8834,0.0518,0.5215,1.027
0.294350052,0.8936,0.0508,0.5162,1.033
0.298195104,0.9000,0.0523,0.5142,1.038
0.301626458,0.9088,0.0493,0.5162,1.046
0.306232864,0.9117,0.0356,0.5264,1.053
0.311095312,0.9093,0.0215,0.5367,1.056
0.313584531,0.9088,0.0049,0.5357,1.055
0.316203489,0.8985,0.0015,0.5357,1.046
0.320938124,0.8634,0.0083,0.6002,1.052
0.326050104,0.8385,0.0034,0.6212,1.043
0.333262656,0.8360,-0.0034,0.5963,1.027
0.336620937,0.8292,0.0371,0.6231,1.038
0.339926979,0.8531,0.0313,0.5596,1.021
0.342398749,0.8585,0.0361,0.5479,1.019
0.345390729,0.8648,0.0303,0.5411,1.021
0.349508802,0.8639,0.0386,0.5406,1.020
0.353935937,0.8702,0.0571,0.5645,1.039
0.35729151,0.8722,0.0693,0.5704,1.044
0.361128854,0.8668,0.0825,0.5709,1.041
0.363752135,0.8604,0.0874,0.5679,1.035
0.366281145,0.8502,0.0864,0.5562,1.020
0.370327708,0.8258,0.1021,0.5420,0.993
0.372984166,0.8214,0.1045,0.5362,0.986
0.37794026,0.8311,0.0894,0.5406,0.995
0.382785624,0.8438,0.0820,0.5445,1.008
0.387293437,0.8614,0.0752,0.5464,1.023
0.389768124,0.8726,0.0713,0.5440,1.031
0.396108177,0.8834,0.0791,0.5528,1.045
0.398542187,0.8834,0.0884,0.5591,1.049
0.410896354,0.8707,0.1055,0.5543,1.038
0.414838177,0.8194,0.1358,0.4996,0.969
0.418451406,0.8048,0.1734,0.4834,0.955
0.421049635,0.8145,0.1690,0.4717,0.956
0.425683854,0.8419,0.1426,0.4307,0.956
0.429182656,0.8521,0.1270,0.4190,0.958
0.432862968,0.8707,0.1016,0.4327,0.978
0.437713072,0.9068,0.0918,0.4800,1.030
0.442294374,0.9161,0.0874,0.5215,1.058
0.445211927,0.9000,0.0806,0.5347,1.050
0.449883489,0.8629,0.0669,0.5420,1.021
0.452748176,0.8458,0.0591,0.5381,1.004
0.457779114,0.8223,0.0523,0.5250,0.977
