time,gFx,gFy,gFz,TgF
5.01312,0.9895,0.1383,0.0041,1.0
5.02915,0.9993,0.1168,-0.0134,1.01
5.046187,1.0188,0.1051,-0.0447,1.03
5.066007,1.013,0.0972,-0.1111,1.02
5.092127,0.9739,0.1266,-0.1756,1.0
5.11278,0.9543,0.1286,-0.1599,0.98
5.129208,0.9485,0.1305,-0.1208,0.97
5.145371,0.9504,0.1324,-0.072,0.96
5.166106,0.9699,0.152,-0.031,0.98
5.190699,1.011,0.1481,0.0256,1.02
5.212792,1.0266,0.113,-0.0036,1.03
5.229649,0.9934,0.1442,-0.0447,1.0
5.245554,0.9816,0.1813,-0.0798,1.0
5.268091,0.9719,0.1813,-0.1092,0.99
5.298557,0.9485,0.1715,-0.1229,0.97
5.311469,0.9348,0.1754,-0.1404,0.96
5.329123,0.9387,0.1871,-0.1502,0.97
5.366319,0.9797,0.2321,-0.1052,1.01
5.401568,1.0032,0.2282,0.006,1.03
5.40179,1.0032,0.2282,0.006,1.03
5.409791,1.011,0.2262,0.051,1.04
5.428259,1.0226,0.2145,0.0764,1.05
5.465435,0.9797,0.1715,-0.0466,1.0
5.484029,0.9583,0.1833,-0.1092,0.98
5.493241,0.9504,0.1871,-0.1404,0.98
5.510584,0.9426,0.1735,-0.1853,0.98
5.54445,0.9465,0.2106,-0.1521,0.98
5.561139,0.9641,0.2028,-0.1033,0.99
5.582219,0.9816,0.1969,-0.0466,1.0
5.599307,0.9934,0.1871,-0.0407,1.01
5.609413,0.9934,0.1871,-0.0407,1.01
5.644289,0.9953,0.1617,-0.074,1.01
5.660561,0.9816,0.1696,-0.0915,1.0
5.681117,0.9602,0.1833,-0.0915,0.98
5.69742,0.9641,0.1833,-0.0975,0.99
5.726364,0.9641,0.1833,-0.1306,0.99
5.743461,0.966,0.195,-0.1345,0.99
5.759885,0.9719,0.1931,-0.1229,1.0
5.781699,0.9778,0.1794,-0.1169,1.0
5.801597,0.9856,0.1715,-0.1013,1.01
5.825396,0.9739,0.1657,-0.1131,0.99
5.842063,0.9778,0.1735,-0.1111,1.0
5.858797,0.9758,0.1715,-0.1033,1.0
5.879607,0.9778,0.1852,-0.0798,1.0
5.904287,0.9797,0.1754,-0.0896,1.0
5.923628,0.9699,0.1813,-0.1131,0.99
5.939782,0.9583,0.1813,-0.1306,0.98
5.957166,0.9641,0.1735,-0.1248,0.99
5.98295,0.9797,0.1598,-0.1071,1.0
6.002132,0.9816,0.1598,-0.1092,1.0
6.023303,0.9778,0.1657,-0.115,1.0
6.039793,0.9816,0.1774,-0.1111,1.0
6.057451,0.9836,0.1891,-0.1013,1.01
6.078471,0.9934,0.1969,-0.0564,1.01
6.098648,0.9856,0.1852,-0.0427,1.0
6.122928,0.9699,0.1676,-0.0525,0.99
6.13983,0.9641,0.1579,-0.072,0.98
6.155423,0.9739,0.1481,-0.0935,0.99
6.178169,0.9778,0.152,-0.1071,1.0
6.198011,0.9876,0.1559,-0.1052,1.01
6.223522,0.9914,0.1794,-0.0915,1.01
6.239948,0.9953,0.191,-0.0935,1.02
6.278125,0.9816,0.2262,-0.0505,1.01
6.278785,0.9816,0.2262,-0.0505,1.01
6.315422,0.9602,0.2399,-0.0232,0.99
6.322318,0.9562,0.238,-0.0193,0.99
6.339291,0.9621,0.2224,-0.0075,0.99
6.375545,0.9876,0.2087,-0.0251,1.01
6.411305,0.9758,0.2126,-0.0427,1.0
6.411506,0.9758,0.2126,-0.0427,1.0
6.421644,0.9836,0.2067,-0.0544,1.01
6.439133,0.9856,0.2028,-0.0584,1.01
6.460627,0.9797,0.2106,-0.0661,1.0
6.495917,0.968,0.2164,-0.0642,0.99
6.504377,0.968,0.2145,-0.0681,0.99
6.522518,0.968,0.2145,-0.0544,0.99
6.555554,0.9758,0.2145,-0.0407,1.0
6.571579,0.9778,0.2106,-0.0368,1.0
6.593272,0.9719,0.2164,-0.0349,1.0
6.610245,0.9719,0.2204,-0.033,1.0
