time,gFx,gFy,gFz,TgF
0.002658,-0.1340,0.4686,0.8404,0.97
0.005510,-0.1340,0.4725,0.8677,1.00
0.027545,-0.1340,0.4725,0.9225,1.05
0.043934,-0.1125,0.4568,0.9459,1.06
0.078118,-0.1184,0.4725,0.8267,0.96
0.103375,-0.1398,0.5115,0.8287,0.98
0.104937,-0.1515,0.5135,0.8248,0.98
0.127301,-0.1613,0.5233,0.8658,1.02
0.145189,-0.1359,0.5077,0.9284,1.07
0.176289,-0.1184,0.4627,0.9284,1.04
0.203510,-0.1515,0.4666,0.8912,1.02
0.209950,-0.1633,0.4646,0.8795,1.01
0.226112,-0.1926,0.4783,0.8834,1.02
0.259676,-0.2180,0.5194,0.8775,1.04
0.277459,-0.1829,0.5291,0.8658,1.03
0.304698,-0.1223,0.4979,0.8834,1.02
0.309574,-0.1203,0.4940,0.8795,1.02
0.341776,-0.1515,0.4940,0.8814,1.02
0.358514,-0.1575,0.4940,0.8756,1.02
0.375288,-0.1438,0.4881,0.8834,1.02
0.402813,-0.1105,0.4919,0.8462,0.99
0.408421,-0.1027,0.4861,0.8385,0.97
0.439699,-0.0636,0.4255,0.8462,0.95
0.458279,-0.0793,0.4314,0.8462,0.95
0.474278,-0.1144,0.4334,0.8111,0.93
0.502479,-0.1301,0.4158,0.7877,0.90
0.523802,-0.1242,0.4568,0.8619,0.98
0.541314,-0.0656,0.4178,0.8404,0.94
0.558014,-0.0539,0.4080,0.8775,0.97
0.574518,-0.0578,0.3923,0.8990,0.98
0.602917,-0.0519,0.3845,0.6665,0.77
0.623329,-0.1359,0.3357,0.5824,0.69
0.640985,-0.1261,0.3279,0.7955,0.87
0.658119,-0.2004,0.2829,0.8092,0.88
0.674119,-0.2493,0.3200,0.8970,0.98
0.702932,-0.0402,0.3181,1.1101,1.16
0.723320,0.0711,0.1520,1.1081,1.12
0.739605,0.0028,0.2028,1.0026,1.02
0.757403,-0.1711,0.3610,0.8932,0.98
0.801328,-0.0383,0.2301,1.0690,1.09
0.802218,-0.0383,0.2301,1.0690,1.09
0.822349,-0.4076,0.4646,0.8443,1.05
0.838679,-0.4407,0.4138,0.9342,1.11
0.857951,0.1610,0.1403,1.0651,1.09
0.895993,-0.1340,0.3142,1.2527,1.30
0.911292,-0.0616,0.2067,1.2840,1.30
0.922191,0.0946,0.0934,1.2547,1.26
0.941451,0.1668,0.1051,1.0416,1.06
0.971086,0.2919,0.2927,0.9498,1.04
0.992450,0.0926,0.3982,0.9088,1.00
1.006990,0.1707,0.3259,0.8814,0.96
1.037438,0.2469,0.4705,0.7447,0.91
1.056219,0.3642,0.5623,0.7544,1.01
1.069999,0.3720,0.6346,0.5786,0.94
1.092587,0.4189,0.6776,0.3773,0.88
1.104155,0.3994,0.6581,0.4223,0.88
1.136814,0.5752,0.6365,0.6646,1.09
1.153867,0.7101,0.6581,0.7270,1.21
1.170377,0.8039,0.6991,0.6958,1.27
1.191703,0.7648,0.6698,0.3930,1.09
1.218938,0.6964,0.6307,0.3949,1.02
1.236678,0.8293,0.5799,0.5728,1.16
1.254459,0.8684,0.5331,0.6079,1.19
1.269814,0.7823,0.4783,0.6626,1.13
1.291485,0.7022,0.4197,0.6469,1.04
1.318591,0.6046,0.3943,0.6606,0.98
1.336211,0.6416,0.3591,0.6978,1.01
1.352653,0.6162,0.3650,0.6762,0.99
1.369258,0.5771,0.3825,0.6704,0.96
1.390571,0.5635,0.4627,0.6157,0.95
1.417604,0.4541,0.5506,0.5649,0.91
1.434010,0.4111,0.5936,0.5747,0.92
1.452331,0.4814,0.5585,0.6138,0.96
1.485322,0.4893,0.5017,0.7447,1.02
1.508611,0.4795,0.4373,0.8639,1.08
1.516258,0.4111,0.4607,0.8599,1.06
1.533024,0.4033,0.4725,0.7661,0.99
1.551701,0.3544,0.4783,0.8287,1.02
1.584006,0.4071,0.4823,0.8834,1.09
1.608203,0.3740,0.4919,0.8795,1.07
1.616605,0.3525,0.5056,0.8599,1.06
1.632353,0.3037,0.5623,0.8150,1.04
1.666238,0.1942,0.6640,0.6860,0.97
1.688402,0.1707,0.6933,0.6333,0.95
1.702012,0.1884,0.6933,0.6469,0.97
1.715807,0.1922,0.7050,0.6255,0.96
1.737203,0.1688,0.6971,0.5864,0.93
1.765113,0.1570,0.7031,0.6176,0.95
1.788794,0.1043,0.7206,0.6138,0.95
1.806973,0.0496,0.7128,0.5766,0.92
